銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,ネットキャッシュ,ネットキャッシュ比率
8358,スルガ銀行,"227,776",13.0,0.8,2.40,"91,447",,101.80,,,,"15,375",16.80,5.10,8.70,90.50,1369.9,1369.90,10.4,,"3,446,490",,"119,973",478.9,,,"30,126",,"3,120,376","3,120,376","301,493","301,387",,
9044,南海電気鉄道,"255,213",13.5,0.8,1.80,"260,787",16.40,16.80,3.10,"34,655",13.30,"22,496",8.60,7.20,31.90,44.30,169.6,152.90,1.4,63.60,"976,877","42,849",,,"27,441",45.9,"761,701","459,530","432,950","390,101","328,225","311,215","390,101",39.93
9507,四国電力,"246,502",6.0,0.6,4.20,"851,399",92.10,15.20,1.60,"89,073",10.50,"68,324",8.00,15.60,26.00,49.20,337.0,284.20,1.9,141.60,"1,687,484","130,192",,,"42,070",227.2,,"1,001,988","830,796","700,604","440,843","438,018","700,604",41.52
9616,共立メンテナンス,"243,192",17.4,2.5,1.20,"204,126",24.00,11.80,15.80,"16,708",8.20,"12,414",6.10,12.80,34.80,50.00,57.5,49.10,1.4,106.90,"279,763","20,415",,,"19,426",45.7,"135,113","118,049","139,763","119,348","97,344","97,344","119,348",42.66
2121,MIXI,"210,162",12.0,1.2,3.60,"146,868",69.90,6.30,56.80,"19,177",13.10,"7,082",4.80,4.10,78.50,6.20,6.5,42.70,0.1,519.90,"220,445","101,547","20,274",50.4,519,4.3,"19,665","12,950","13,584","89,649","175,545","173,016","87,963",39.90
2201,森永製菓,"217,654",13.0,1.7,2.40,"213,368",40.60,14.10,31.10,"20,273",9.50,"15,154",7.10,12.00,60.40,9.10,8.7,4.10,0.2,194.00,"209,396","27,978","35,488",60.7,"34,109",98.3,"77,542","27,062","19,000","8,978","127,846","126,453","8,978",4.29
2531,宝HD,"223,470",14.1,1.0,2.70,"339,372",33.60,8.60,27.00,"22,242",6.60,"16,176",4.80,7.00,50.70,12.60,25.9,7.80,0.2,237.60,"458,614","75,237","75,902",81.6,"82,199",133.1,"115,688","73,078","57,914","17,323","284,229","232,648","17,323",3.78
3107,ダイワボウHD,"212,470",8.9,1.5,3.80,"967,760",8.10,2.50,4.90,"30,963",3.20,"4,283",0.40,3.00,33.30,4.90,9.7,18.80,0.1,151.90,"423,998","60,424","270,297",101.9,"51,697",21.2,"11,164","23,275","20,570","39,854","141,420","141,264","39,854",9.40
3401,帝人,"229,877",9.2,0.5,4.20,"1,032,773",26.70,6.70,25.40,"13,542",1.30,"10,599",1.00,2.30,37.70,63.90,339.2,242.60,1.7,170.40,"1,219,326","209,631","178,063",62.9,"242,265",116.8,"255,090","332,716","779,690","557,706","466,725","459,867","570,059",46.75
4118,カネカ,"221,652",8.9,0.5,3.70,"762,302",26.80,8.10,22.50,"32,579",4.30,"23,220",3.00,5.00,51.00,22.60,92.5,72.40,0.4,138.70,"908,623","44,482",,,"196,078",128.2,"343,604","102,574","204,948","160,466","484,478","463,597","160,466",17.66
4206,アイカ工業,"221,068",12.1,1.3,3.90,"248,696",27.30,10.80,16.30,"27,408",11.00,"16,896",6.80,9.70,60.20,9.80,12.8,14.20,0.2,286.00,"288,058","59,573","72,317",106.1,"33,885",68.4,"74,019","35,559","28,207","31,366","189,723","173,373","31,366",10.89
4272,本化薬,"219,850",12.3,0.8,4.40,"201,791",30.40,11.50,26.70,"7,337",3.60,"4,113",2.00,1.50,71.70,10.30,17.6,8.40,0.1,315.80,"378,006","53,716","68,627",124.1,"75,359",195.8,"107,668","38,856","38,799","18,467","271,883","270,843","14,917",3.95
4887,サワイGHD,"241,083",9.1,1.2,,"176,862",30.70,13.10,13.10,"18,620",10.50,"13,695",7.70,7.10,53.70,45.60,68.1,52.40,0.8,236.80,"360,088","35,871","60,644",125.2,"110,174",328.2,"110,372","77,091","164,111","126,248","193,525","193,525","128,240",35.61
