銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,ネットキャッシュ,ネットキャッシュ比率
4578,大塚HD,"4,076,147",14.8,1.5,1.60,"2,329,861",71.70,15.20,41.10,"323,564",13.90,"343,120",14.70,13.00,71.70,8.40,7.6,3.00,0.1,187.90,"3,693,051","407,496","481,223",75.4,"308,098",170.3,"614,902","300,541","309,570","124,264","2,690,785","2,648,194","97,926",2.65
4689,LINEヤフー,"3,801,274",,1.3,1.30,"1,814,663",71.30,17.40,60.40,"208,191",11.50,"113,199",6.20,3.80,31.70,,0.0,34.90,,,"9,451,486","1,328,203",,,,,"268,783",,0,"1,328,203","3,407,671","2,994,685","1,328,203",14.05
4901,富士フイルムHD,"3,678,272",14.7,1.1,2.00,"2,960,916",,,,"276,725",,"243,509",8.20,7.20,64.30,,0.0,0.00,,,"5,278,927","216,247",,,,,"1,739,347","727,814",0,,"3,396,803","3,396,803","216,247",4.10
5108,ブリヂストン,"4,124,025",16.3,1.1,3.80,"4,430,096",39.00,12.40,28.30,"443,319",10.00,"284,989",6.40,7.60,65.20,12.70,17.6,0.20,0.2,243.50,"5,723,517","706,732","1,037,345",85.5,"945,285",127.6,"1,840,317","760,785","727,721","9,562","3,786,488","3,731,606","20,989",0.37
6178,本郵政,"4,113,450",11.4,0.4,,"11,982,152",,19.70,,,,"268,685",2.20,2.70,3.20,0.20,14.2,14.20,0.1,,"307,763,550",,"548,829",16.7,,,"3,230,347",,"585,300","585,300","15,293,183","9,883,671",,
6301,小松製作所,"3,927,639",12.7,1.2,4.50,"4,104,395",,,,"657,125",16.00,"439,614",10.70,13.10,57.90,,0.0,0.00,,,"5,773,523",,,,,,,,0,,"3,344,853","3,344,853",,
6752,パナソニックHD,"3,938,457",12.7,0.8,2.40,"8,496,420",29.40,10.20,24.80,"360,962",4.20,"443,994",5.20,9.00,50.60,14.70,36.1,4.00,0.3,137.50,"9,698,499","1,064,562","1,305,079",56.1,"1,132,525",68.9,"1,890,277","1,698,428","1,420,928","157,749","5,107,375","4,908,562","356,366",3.67
6954,ファナック,"3,471,743",,2.0,,"797,129",37.00,32.00,17.10,"158,846",19.90,"147,557",18.50,8.60,89.00,,0.0,17.50,,689.00,"1,937,031","590,504","156,437",71.6,"306,439",222.7,"604,266","39,555",0,"606,504","1,739,890","1,724,545","590,504",30.49
6981,村田製作所,"3,707,960",20.9,1.4,3.00,"1,743,352",41.20,25.90,15.90,"279,702",16.00,"233,818",13.40,9.10,85.20,2.00,1.7,16.60,0.0,541.70,"3,028,194","625,148","294,419",61.6,"482,833",171.8,"1,183,727","171,702","61,649","614,184","2,579,975","2,580,805","563,499",18.61
7269,スズキ,"3,436,039",9.3,1.2,2.20,"5,374,255",26.30,8.30,17.70,"465,563",8.70,"267,717",5.00,9.00,49.30,20.60,36.1,4.00,0.4,158.30,"6,027,686","788,487","508,593",34.5,"631,917",58.2,"1,673,151","783,602","1,240,075","136,773","3,700,588","2,973,597","451,588",7.49
8002,丸紅,"4,206,463",8.2,1.2,3.90,"7,790,168",14.70,7.70,11.10,"272,310",3.50,"502,965",6.50,13.90,39.40,49.50,108.3,88.50,1.3,142.50,"9,201,974","569,144",,,"1,180,366",64.8,"1,125,412","2,610,353","4,553,769","3,723,260","3,768,633","3,629,236","3,984,625",43.30
8053,住友商事,"4,238,653",7.4,0.9,4.00,"7,292,084",19.80,8.40,14.30,,,"561,859",7.70,12.10,40.00,55.50,152.4,138.70,1.4,155.60,"11,631,161","570,617","2,028,193",101.5,"1,653,842",103.2,"1,232,605","3,483,963","6,458,328","5,880,049","4,885,558","4,648,462","5,887,711",50.62
8267,イオン,"3,659,227",91.5,3.5,0.90,"10,134,877",24.80,5.60,34.70,"237,747",2.30,"28,783",0.30,2.70,7.60,27.70,104.7,46.50,3.7,103.00,"13,833,319","1,258,383","1,856,384",66.9,"649,955",37.6,"3,599,604","3,268,429","3,832,668","1,699,887","2,121,226","1,049,231","2,574,285",18.61
8591,オリックス,"3,268,098",8.4,0.8,3.40,"2,814,361",,,,,,"346,132",12.30,8.30,24.70,,0.0,0.00,,,"16,917,024",,,,,,,,0,,"4,170,686","4,170,686",,
8750,第一生命HD,"3,734,403",9.7,1.0,3.30,"11,028,166",,9.00,,,,"320,765",2.90,8.30,5.70,1.30,23.0,23.00,0.2,,"68,540,440",,,,,,"1,211,564",,"860,523","860,523","3,887,672","3,887,415",,
8801,三井不動産,"4,038,686",16.8,1.3,2.10,"2,383,289",24.90,10.10,10.60,"339,690",14.30,"224,647",9.40,7.50,30.60,45.60,110.9,105.00,1.5,190.40,"9,820,325","239,637",,,"2,070,654",422.2,"4,416,102","4,920,493","4,478,637","4,238,945","3,130,181","3,007,773","4,239,000",43.17
9020,東本旅客鉄道,"3,683,467",16.2,1.3,1.90,"2,887,553",35.70,25.40,22.70,"376,786",13.00,"224,285",7.80,7.80,28.10,45.70,126.2,119.90,1.6,71.80,"10,174,224","233,663",,,"68,596",13.5,"7,792,162","5,560,017","4,648,645","4,414,972","2,872,216","2,859,544","4,414,982",43.39
9613,NTTデータG,"4,155,083",30.3,2.3,0.80,"4,367,387",27.40,11.40,20.30,"309,551",7.10,"133,869",3.10,7.30,23.40,55.80,104.7,89.50,2.4,93.80,"7,798,199","542,016","1,422,258",118.9,"72,372",8.3,"2,096,826","1,907,428","4,349,982","3,716,730","2,908,195","1,827,895","3,807,966",48.83
2502,アサヒGHD,"2,993,681",16.9,1.1,2.60,"2,939,422",37.30,13.70,27.60,"269,052",9.20,"192,080",6.50,7.20,49.40,23.70,42.7,39.40,0.5,56.80,"5,403,405","83,961","440,335",54.7,"271,430",53.8,"935,441","1,219,044","1,279,176","1,178,136","2,674,051","2,668,801","1,195,215",22.12
2802,味の素,"2,993,049",40.0,3.7,,"1,439,231",35.50,11.70,,"146,682",10.20,"87,121",6.10,10.70,43.70,12.00,7.5,0.80,0.3,193.20,"1,856,229","229,374","195,580",49.6,"311,552",122.6,"595,546","570,700","223,324","24,648","880,163","811,413","6,050",0.33
4307,野村総合研究所,"3,142,015",30.2,7.2,1.30,"764,813",36.00,17.00,18.80,"134,907",17.60,"93,762",12.30,21.60,46.70,51.70,15.3,9.40,1.1,175.10,"928,501","168,597","158,295",75.5,,,"38,032","251,059","479,677","295,458","437,959","434,041","311,080",33.50
4452,花王,"2,804,093",24.2,2.6,2.60,"1,628,448",39.20,12.40,30.60,"146,644",9.00,"107,767",6.60,10.10,57.10,13.10,8.7,4.40,0.2,179.40,"1,867,237","357,713","238,077",53.4,"274,628",101.2,"423,251","258,802","245,328","122,910","1,098,835","1,066,776","112,385",6.02
4503,アステラス製薬,"2,610,271",20.1,1.7,5.30,"1,912,323",81.70,10.20,44.10,"41,039",2.10,"50,747",2.70,3.40,45.30,41.80,53.5,45.10,0.9,113.20,"3,339,544","188,372","632,525",120.7,"297,261",310.7,"328,921","764,679","1,396,319","1,178,006","1,513,255","1,513,255","1,207,947",36.17
4612,本ペイントHD,"2,587,127",16.0,1.6,,"1,638,720",40.10,10.20,29.40,"187,647",11.50,"127,337",7.80,8.00,51.80,24.70,29.4,12.30,0.5,181.30,"3,071,378","288,301","376,976",84.0,"202,484",75.3,"478,759","879,078","760,013","318,128","1,610,227","1,590,983","471,712",15.36
5401,本製鉄,"3,130,372",10.1,0.6,5.30,"8,868,097",15.60,11.40,8.20,"778,662",8.80,"549,372",6.20,10.50,47.70,25.30,89.1,64.30,0.5,193.10,"11,024,351","736,108","1,644,969",67.7,"2,270,861",110.8,"3,509,546","2,647,957","2,790,665","2,012,664","5,848,630","5,255,338","2,054,557",18.64
6146,ディスコ,"3,080,861",,6.3,,"393,313",70.60,30.60,28.20,"166,834",42.40,"123,891",31.50,25.20,75.10,,0.0,7.40,,264.70,"654,087","229,167","43,177",40.1,"139,002",438.3,"204,014",991,0,"229,167","492,703","491,167","229,167",35.04
6273,SMC,"2,997,267",19.8,1.5,2.10,"776,873",46.70,12.60,21.50,"196,226",25.30,"178,321",23.00,9.20,91.60,0.20,0.2,19.80,0.0,993.60,"2,124,567","566,636","206,308",96.9,"517,415",456.4,"473,258","41,777","5,043","592,831","1,945,898","1,945,842","561,593",26.43
6594,ニデック,"3,001,607",15.0,1.7,1.60,"2,607,094",20.60,10.90,8.30,"240,200",9.20,"167,688",6.40,9.80,51.70,14.20,15.7,7.50,0.3,152.80,"3,325,561","246,239","706,175",98.9,"557,880",98.4,"931,059","514,275","472,197","224,672","1,745,569","1,719,296","225,958",6.79
6723,ルネサスエレクトロニクス,"3,113,973",,1.3,,"1,348,479",55.60,25.20,39.10,"222,977",16.50,"219,084",16.20,9.50,55.20,61.20,82.5,76.80,1.1,111.90,"4,195,513","177,601","151,632",41.0,"175,610",107.1,"347,853","1,391,997","2,569,335","2,391,018","2,322,303","2,317,559","2,391,734",57.01
6762,TDK,"2,935,641",19.3,1.6,1.90,"2,204,806",31.20,20.20,22.40,"224,192",10.20,"167,161",7.60,9.30,50.80,26.90,32.5,6.10,0.5,167.20,"3,541,415","697,307","583,133",96.5,"410,038",98.7,"1,030,122","631,701","954,401","179,790","1,811,254","1,800,070","257,094",7.26
6971,京セラ,"2,400,507",120.0,0.7,2.90,"2,004,221",27.60,13.40,23.00,"92,923",4.60,"101,074",5.00,3.00,72.60,6.80,12.9,5.00,0.1,318.70,"4,591,686","391,470","364,208",66.3,"556,999",140.1,"650,309","791,146","310,484","120,466","3,360,522","3,334,674","80,986",1.76
7532,パン･パシフィック･インターナショナルHD,"2,658,134",29.5,4.6,0.80,"2,095,077",31.60,7.20,24.90,"140,193",6.70,"88,701",4.20,15.50,36.60,31.10,18.3,10.70,0.8,121.50,"1,564,179","202,948","21,338",3.7,"229,454",58.5,"729,089","495,029","486,725","283,777","584,175","572,945","283,777",18.14
7832,バンダイナムコHD,"3,298,146",25.8,4.0,1.40,"1,050,210",35.30,8.50,26.70,"90,682",8.60,"101,493",9.70,12.30,73.20,,0.0,12.00,,276.40,"1,127,592","395,363",,,"137,209",73.7,"133,217","30,267",0,"395,363","825,391","824,911","395,363",35.06
8015,豊田通商,"3,107,875",9.1,1.2,3.70,"10,309,550",10.90,5.00,6.00,"497,174",4.80,"362,506",3.50,13.80,37.20,44.50,101.1,69.00,1.2,166.00,"7,057,462","951,884","1,824,946",64.6,"1,198,196",47.6,"1,185,061","1,756,575","3,142,445","2,145,718","2,745,843","2,624,268","2,190,561",31.04
8802,三菱地所,"3,212,764",18.6,1.3,1.70,"1,504,687",26.10,20.40,7.60,"278,627",18.50,"168,432",11.20,7.00,30.40,43.80,107.3,97.70,1.4,200.80,"7,873,537","299,024",,,"606,993",199.2,"4,732,912","4,197,843","3,446,547","3,140,398","2,614,021","2,391,264","3,147,523",39.98
8830,住友不動産,"2,584,809",13.5,1.2,,"967,692",34.30,24.00,8.00,"254,666",26.30,"177,171",18.30,8.20,32.50,54.30,140.0,137.30,1.7,123.70,"6,659,371","70,469",,,"816,291",469.0,"4,574,934","3,696,406","3,618,662","3,548,193","2,163,062","2,163,062","3,548,193",53.28
9022,東海旅客鉄道,"3,184,207",7.5,0.7,1.00,"1,831,847",49.30,34.10,10.90,"702,794",38.40,"458,423",25.00,10.00,44.60,12.70,41.1,26.70,0.3,248.30,"10,323,345","259,468",,,"41,775",16.4,"6,058,783","4,882,451","1,308,098","850,730","4,658,550","4,600,536","1,048,630",10.16
9766,コナミG,"2,814,168",40.2,5.9,0.70,"360,314",44.40,28.60,19.90,"80,262",22.30,"59,171",16.40,12.50,73.10,15.40,3.5,6.60,0.2,345.50,"649,714","285,694","51,095",51.8,"14,275",26.0,"166,566","68,793","99,800","185,894","475,265","475,249","185,894",28.61
1605,INPEX,"2,184,422",6.6,0.5,4.90,"2,265,837",59.60,28.90,5.90,"1,271,789",56.10,"427,344",18.90,8.90,65.30,14.40,48.7,30.00,0.2,163.10,"7,380,863","241,675","267,476",43.1,"67,241",26.8,"28,864","1,709,366","1,063,911","655,836","5,137,833","4,821,806","822,236",11.14
1928,積水ハウス,"2,130,935",9.2,1.1,4.40,"4,058,583",19.40,1.50,11.20,"331,366",8.20,"217,705",5.40,11.10,40.80,38.40,86.7,68.40,0.9,238.60,"4,808,848","390,559","2,580",0.2,"31,862",3.6,"534,240","1,234,601","1,847,083","1,456,524","2,018,599","1,962,201","1,456,524",30.29
2503,キリンHD,"1,739,057",11.6,1.5,3.40,"2,338,385",45.60,10.40,36.60,"125,340",5.40,"58,214",2.50,4.90,35.20,25.60,49.3,42.00,0.7,139.90,"3,354,159","118,617","502,880",78.5,"358,985",103.0,"674,028","1,076,380","857,569","730,382","1,533,714","1,181,525","738,952",22.03
4091,本酸素HD,"1,969,493",20.4,2.0,,"1,255,081",40.70,17.20,27.60,"172,041",13.70,"105,901",8.40,10.60,40.30,65.80,82.6,75.70,1.6,122.10,"2,473,623","123,734","263,989",76.8,"110,238",54.1,"932,558","982,113","1,627,736","1,490,410","1,037,772","997,042","1,504,002",60.80
4507,塩野義製薬,"2,090,134",12.2,1.6,,"410,073",92.10,37.60,24.30,"153,310",37.40,"162,030",39.50,12.00,88.70,1.50,1.1,27.20,0.0,763.60,"1,516,585","305,579","144,006",128.2,"67,940",430.5,"110,554","45,460","23,057","568,525","1,362,606","1,345,590","282,522",18.63
4684,オービック,"2,226,742",31.8,5.1,1.50,"121,240",77.80,51.80,13.20,"78,378",64.60,"64,621",53.30,14.90,86.70,,0.0,9.00,,713.10,"500,375","200,065","15,477",46.6,384,5.2,"56,117","35,729",0,"200,065","433,850","433,850","200,065",39.98
4716,本オラクル,"2,187,096",,14.8,,"244,542",46.40,32.90,13.80,"79,820",32.60,"55,603",22.70,37.60,54.30,,0.0,1.20,,128.50,"271,815","26,125","19,465",29.1,,,"35,153",,0,"26,125","147,768","147,723","26,125",9.61
5020,ENEOSHD,"1,895,439",17.2,0.6,,"13,856,662",9.70,7.30,6.90,"464,946",3.40,"288,121",2.10,9.10,31.60,52.40,278.0,242.10,1.7,141.50,"10,059,326","519,273","1,717,123",45.2,"2,004,124",58.4,"3,477,598","3,066,798","5,268,514","4,588,736","3,643,409","3,178,357","4,749,241",47.21
6326,クボタ,"1,922,388",9.8,0.8,3.00,"3,016,281",30.80,9.40,19.80,"315,636",10.50,"230,437",7.60,9.30,41.20,37.90,118.5,97.80,0.9,161.50,"6,018,665","295,130","985,228",119.2,"692,276",121.0,"861,840","1,503,541","2,278,077","1,879,156","2,739,766","2,477,314","1,982,947",32.95
7270,SUBARU,"1,925,910",5.8,0.7,4.40,"4,702,947",21.10,16.30,8.40,"468,198",10.00,"385,084",8.20,13.90,54.80,7.90,20.6,81.50,0.1,262.60,"5,046,950","965,917","388,530",30.2,"656,421",64.6,"1,032,294","1,072,042","397,500","1,570,482","2,766,257","2,764,778","568,417",11.26
7733,オリンパス,"2,211,535",21.1,3.0,1.00,"936,210",66.80,4.50,50.50,"43,598",4.70,"242,566",25.90,33.00,52.20,26.40,16.8,6.30,0.5,156.20,"1,406,931","220,257","188,762",73.6,"197,102",231.3,"260,850","257,716","371,698","139,901","734,660","734,660","151,441",10.76
7936,アシックス,"2,306,835",29.6,9.9,0.80,"678,526",55.80,15.40,41.10,"100,111",14.80,"63,806",9.40,27.40,44.90,22.60,5.1,0.40,0.5,189.60,"518,994","127,021","74,705",40.2,"137,596",167.6,"33,944","89,314","117,276","9,745","234,940","233,036","9,745",1.88
8113,ユニ･チャーム,"2,362,483",27.3,3.1,1.30,"988,981",39.40,13.90,25.40,,,"81,842",8.30,10.60,62.30,2.20,1.1,14.50,0.0,222.50,"1,239,973","261,054","168,631",62.2,"121,133",73.8,"293,230","64,678","26,851","341,898","873,711","773,062","234,203",18.89
8308,りそなHD,"2,387,273",13.6,0.9,2.20,"941,663",,77.90,,,,"158,930",16.90,5.80,3.60,82.80,2679.0,2679.00,23.3,,"77,215,257",,"461,372",178.8,,,"344,368",,"63,954,577","63,954,577","2,765,738","2,743,992",,
8309,三井住友トラストG,"2,430,578",9.7,0.8,4.50,"2,475,303",,173.50,,,,"79,199",3.20,2.50,4.00,68.50,2207.9,2207.90,17.2,,"78,320,305",,"930,532",137.2,,,"222,224",,"53,663,699","53,663,699","3,145,143","3,114,195",,
8604,野村HD,"2,335,406",,0.7,,,,,,,,"340,736",,9.50,6.30,,0.0,0.00,,,"56,802,170",,,,,,,,0,,"3,580,999","3,580,999",,
9101,本郵船,"2,042,271",4.5,0.7,6.60,"2,387,240",17.30,16.80,10.00,"174,679",7.30,"228,603",9.60,7.80,65.90,17.50,38.0,30.20,0.3,125.20,"4,430,962","160,737",,,"67,231",12.4,"1,303,201","862,946","776,914","616,177","2,965,027","2,919,034","616,177",13.91
9697,カプコン,"1,742,897",36.0,8.6,1.00,"152,410",55.50,24.20,18.10,"57,081",37.50,"43,374",28.50,21.40,80.80,2.80,0.4,6.70,0.0,647.30,"251,443","124,574","15,268",36.6,"5,655",30.5,"31,330","16,747","6,961","117,613","203,071","203,066","117,613",46.78
9735,セコム,"2,231,359",21.3,1.8,,"1,154,740",30.90,14.40,18.80,"140,658",12.20,"101,951",8.80,8.30,58.60,3.40,3.2,14.60,0.1,242.20,"2,099,498","368,306",,,"55,116",25.2,"443,808","316,603","70,976","326,215","1,399,809","1,229,633","297,330",14.16
9843,ニトリHD,"1,896,336",20.6,2.0,0.90,"895,799",50.90,16.00,36.60,"127,725",14.30,"86,523",9.70,9.10,71.60,16.90,11.8,3.20,0.2,113.10,"1,330,099","163,694","69,871",28.5,"102,280",84.9,"817,385","61,126","224,512","60,818","952,050","952,050","60,818",4.57
1802,大林組,"1,586,272",10.9,1.4,,"2,325,162",9.40,2.20,6.00,"79,381",3.40,"75,059",3.20,6.60,37.30,12.40,23.9,6.30,0.3,119.80,"3,064,322","267,560","36,360",5.7,"60,485",10.5,"736,905","386,522","378,698","99,546","1,189,900","1,141,735","111,138",3.63
1812,鹿島建設,"1,611,825",13.4,1.4,3.00,"2,665,175",10.90,4.60,5.80,"136,226",5.10,"115,033",4.30,9.70,34.80,27.40,57.8,36.60,0.8,121.40,"3,396,944","342,168",,,"240,695",37.0,"588,279","454,041","931,380","589,212","1,199,875","1,181,691","589,212",17.35
2587,サントリー食品インターナショナル,"1,535,728",17.1,1.3,2.40,"1,696,765",38.10,11.40,28.20,"160,249",9.40,"93,495",5.50,7.70,58.80,1.30,1.8,9.00,0.0,121.40,"2,058,032","160,493","341,028",73.4,"118,412",41.2,"481,950","198,578","27,216","137,835","1,315,278","1,209,588","133,277",6.48
3064,MonotaRO,"1,363,509",45.0,12.9,1.10,"288,119",29.30,9.90,16.40,"37,066",12.90,"26,338",9.10,24.90,72.10,0.90,0.1,2.10,0.0,268.10,"146,842","29,470","35,679",45.2,"20,413",36.6,"36,758","4,340","1,341","28,129","106,527","105,894","28,129",19.16
3402,東レ,"1,451,008",16.5,0.8,2.00,"2,464,596",18.00,7.50,14.10,"57,651",2.30,"21,897",0.90,1.20,51.30,40.00,96.7,78.90,0.8,177.90,"3,505,056","239,375","643,770",95.3,"569,718",102.9,"1,128,141","686,766","1,403,295","1,144,412","1,913,863","1,799,683","1,163,920",33.21
3659,ネクソン,"1,885,888",,1.9,1.30,"446,211",63.10,22.60,31.90,"124,176",27.80,"134,848",30.20,13.20,81.10,3.20,2.1,18.10,0.0,698.70,"1,256,771","331,931","88,717",72.6,,,"28,365","118,584","39,998","341,404","1,030,525","1,019,013","291,933",23.23
4755,楽天G,"1,790,587",,1.9,,"2,279,233",,52.20,,"52,975",2.30,"162,442",7.10,,3.50,7.70,114.6,230.00,2.2,,"26,514,728","6,170,888","421,649",67.5,,,"1,184,182",,"2,052,809","4,118,079","1,238,514","927,868","4,118,079",15.53
5803,フジクラ,"1,525,452",20.6,3.9,1.40,"799,760",21.30,11.80,12.70,"69,483",8.70,"51,011",6.40,13.10,49.30,20.10,10.4,0.80,0.4,199.70,"790,323","147,262",,,"155,678",90.3,"169,142","106,791","159,082","11,820","417,429","389,782","11,820",1.50
6869,シスメックス,"1,666,820",30.3,3.6,1.10,"461,510",52.50,13.80,29.00,"78,382",17.00,"49,639",10.80,10.70,71.00,9.20,3.6,1.40,0.1,312.60,"652,388","81,940","152,051",120.3,"91,004",151.7,"123,418","74,342","60,169","22,628","463,618","462,885","21,771",3.34
6988,東電工,"1,824,551",14.6,1.7,2.30,"1,013,878",39.00,21.50,15.00,"185,667",18.30,"137,237",13.50,13.10,79.00,0.00,0.0,20.30,0.0,338.30,"1,321,920","363,344","210,418",75.8,"142,932",84.4,"417,636","55,070",455,"370,621","1,045,114","1,044,083","362,889",27.45
7013,IHI,"1,699,037",18.9,3.8,1.10,"1,322,591",11.00,4.70,16.10,"70,138",5.30,"68,214",5.20,,19.40,39.00,53.1,47.50,2.0,115.40,"2,311,511","91,014","578,451",159.6,"504,378",156.3,"239,021","603,469","901,843","806,914","475,345","448,972","810,829",35.08
7309,シマノ,"1,814,197",28.4,2.2,1.60,"450,993",38.20,19.30,23.80,"65,085",14.40,"76,329",16.90,9.10,91.60,,0.0,25.80,,1150.80,"912,749","467,893","47,732",38.6,"125,470",164.3,"188,195","18,699",0,"467,893","836,850","835,715","467,893",51.26
8697,本取引所G,"1,664,194",30.0,4.9,2.70,"162,230",,53.10,,"90,122",55.60,"61,092",37.70,17.90,0.40,0.10,4.4,11.00,0.2,100.20,"85,396,761","98,428","19,790",44.5,,,"9,095","31,292","72,474","182,864","351,148","340,824","25,954",0.03
8795,T&DHD,"1,523,350",13.0,1.1,2.70,"3,207,991",,8.20,,,,"98,777",3.10,6.90,8.40,0.90,10.2,10.20,0.1,,"17,159,982",,,,,,"372,317",,"155,993","155,993","1,441,794","1,435,807",,
9021,西本旅客鉄道,"1,452,374",12.6,1.3,2.80,"1,707,944",24.50,16.50,13.90,"180,161",10.50,"113,958",6.70,9.90,30.80,38.50,99.4,90.70,1.2,88.40,"3,752,359","125,617","58,412",12.5,"181,157",51.3,"2,713,223","1,773,641","1,443,294","1,317,672","1,280,165","1,156,654","1,317,677",35.12
9104,商船三井,"1,607,160",9.5,0.6,3.30,"1,775,470",17.90,20.30,9.40,"150,851",8.50,"425,492",24.00,15.80,53.90,36.40,113.0,102.80,0.7,108.90,"4,984,449","163,290",,,"56,429",14.1,"2,284,803","1,736,890","1,815,443","1,652,153","2,724,218","2,686,462","1,652,153",33.15
9435,光通信,"1,748,158",15.2,1.9,1.60,"601,948",52.40,21.60,36.50,"94,546",15.70,"122,225",20.30,13.40,39.90,38.80,50.7,24.30,1.0,189.30,"2,284,828","430,663","312,399",189.4,"2,563",3.3,"36,675","908,211","886,094","423,930","938,981","910,816","455,431",19.93
9503,関西電力,"1,849,866",6.3,0.6,3.60,"4,337,111",,13.60,,"468,877",10.80,"420,364",9.70,13.70,31.80,40.50,211.2,160.30,1.3,117.30,"9,652,655","942,388",,,"287,421",,,"4,843,095","3,906,823","2,964,435","3,107,452","3,065,857","2,964,435",30.71
9531,東京瓦斯,"1,754,499",13.1,1.0,1.70,"2,636,809",15.40,13.80,10.40,"133,090",5.00,"74,194",2.80,4.30,44.80,33.90,74.6,60.60,0.8,171.60,"3,855,093","244,388",,,"138,621",22.7,"1,453,739","1,443,408","1,308,007","1,063,516","1,801,470","1,725,446","1,063,619",27.59
1801,大成建設,"1,354,089",10.9,1.5,2.80,"1,765,023",7.20,2.30,5.70,"26,480",1.50,"40,272",2.30,4.50,37.40,14.30,25.1,10.30,0.4,124.30,"2,375,170","201,474",,,,,"243,315","226,014","340,546","139,072","922,433","888,110","139,072",5.86
2801,キッコーマン,"1,367,145",22.9,2.7,1.70,"708,979",33.70,10.40,22.80,"73,698",10.40,"61,695",8.70,12.10,74.80,8.70,4.3,5.60,0.1,380.30,"679,414","106,184","82,584",42.5,"104,896",81.5,"189,321","75,312","59,013","76,449","516,049","508,539","47,171",6.94
3092,ZOZO,"1,329,165",27.4,13.5,2.60,"213,131",93.00,28.20,62.70,"64,756",30.40,"45,346",21.30,45.90,52.60,10.60,1.5,5.40,0.2,184.60,"187,810","91,486","49,453",84.7,"2,649",65.2,"25,447","9,262","20,000","71,486","98,719","98,719","71,486",38.06
3407,旭化成,"1,373,812",12.5,0.7,3.60,"2,784,878",29.30,10.60,24.20,"140,746",5.10,"43,806",1.60,2.30,46.50,30.80,90.8,64.40,0.7,169.10,"4,054,888","363,245",,,"736,290",136.5,"928,413","1,070,939","1,248,021","884,776","1,933,747","1,884,610","884,776",21.82
4704,トレンドマイクロ,"1,370,082",35.2,11.7,,"272,638",76.20,17.20,58.50,"48,105",17.60,"34,358",12.60,29.40,29.20,,0.0,15.40,,115.20,"400,316","170,056","74,795",100.1,"8,454",47.5,"5,548","13,595",0,"210,895","119,446","116,966","170,056",42.48
6383,ダイフク,"1,386,171",21.3,3.5,1.70,"563,228",22.20,20.60,9.40,"71,546",12.70,"57,086",10.10,14.30,57.80,9.20,4.6,11.40,0.2,248.10,"688,707","221,521","3,019",2.0,"46,467",38.7,"85,775","76,037","63,370","158,151","398,424","398,094","158,151",22.96
7012,川崎重工業,"1,412,520",18.1,2.1,1.70,"1,849,287",16.90,1.70,14.90,,,"25,377",1.40,3.80,21.90,,0.0,10.30,,107.40,"3,045,769","129,047","713,264",140.8,"863,025",204.9,"511,570","439,238",0,"145,306","690,300","667,784","129,047",4.24
7202,いすゞ自動車,"1,398,196",10.4,1.0,4.70,"3,386,676",20.10,8.80,11.40,"293,085",8.70,"176,442",5.20,12.10,44.20,21.70,51.0,23.90,0.5,170.60,"3,290,803","379,122",,,"712,552",96.1,"946,403","582,913","713,713","334,591","1,619,773","1,454,830","334,591",10.17
7259,アイシン,"1,386,519",11.1,0.7,3.60,"4,896,104",11.50,6.90,7.70,"202,941",4.10,"107,586",2.20,5.40,46.10,28.90,89.2,55.30,0.6,158.60,"4,284,600","451,690","737,206",55.0,"530,082",44.7,"1,424,038","897,589","1,236,462","767,018","2,233,265","1,977,264","784,772",18.32
7453,良品計画,"1,264,319",27.8,4.0,0.90,"661,677",50.80,8.80,42.40,"56,135",8.50,"41,566",6.30,13.00,59.00,21.00,9.0,0.40,0.4,299.30,"540,531","118,899","14,508",8.0,"171,619",192.6,"102,261","100,629","113,461","5,438","323,428","319,097","5,438",1.01
7550,ゼンショーHD,"1,362,978",36.8,5.5,0.80,"965,778",54.30,8.90,48.70,"53,707",5.60,"30,693",3.20,12.40,29.90,36.70,22.3,15.30,1.2,139.20,"827,597","84,311","57,200",21.6,"72,766",60.1,"266,636","391,069","304,128","207,892","248,142","247,861","219,817",26.56
7911,TOPPANHD,"1,170,920",14.6,0.8,1.20,"1,678,249",23.10,9.40,18.70,"74,286",4.40,"74,395",4.40,5.30,60.00,7.30,14.6,21.30,0.1,220.90,"2,348,530","415,088",,,"160,407",45.4,"663,934","319,250","170,951","249,440","1,556,542","1,409,932","244,137",10.40
8136,サンリオ,"1,340,886",33.1,14.9,0.90,"99,981",72.10,22.20,45.20,"26,952",27.00,"17,584",17.60,19.60,49.80,24.70,3.3,4.40,0.5,324.60,"180,264","103,993","22,992",83.9,"8,898",116.6,"15,411","47,500","44,597","59,396","90,141","89,716","59,396",32.95
