code,name,pre_per,roe,pro_margin,equity_ratio,fixed_net_cash_ratio,real_pbr,pre_pbr,pre_error,pbr_ratio
7733,オリンパス,21.1,33,4.7,52.2,-2.662461769624808,3,7.212518642957591,-4.212518642957591,2.404172880985864
7936,アシックス,29.6,27.4,14.8,44.9,7.265401912160835,9.9,6.967517774747091,2.932482225252909,0.7037896742168779
9101,本郵船,4.5,7.8,7.3,65.9,-15.84777752551252,0.7,0.0163754748020297,0.6836245251979702,0.023393535431471
9697,カプコン,36,21.4,37.5,80.8,42.88327772099442,8.6,6.442000704016743,2.157999295983257,0.7490698493042725
9735,セコム,21.3,8.3,12.2,58.6,2.4626363063932426,1.8,1.7744562936632495,0.0255437063367505,0.9858090520351386
9843,ニトリHD,20.6,9.1,14.3,71.6,7.711305699801294,2,1.808309071187363,0.1916909288126369,0.9041545355936816
1802,大林組,10.9,6.6,3.4,37.3,-3.882163819598593,1.4,0.9695822646497224,0.4304177353502776,0.6925587604640874
1812,鹿島建設,13.4,9.7,5.1,34.8,-3.2933424866585965,1.4,1.8935292682385865,-0.4935292682385865,1.3525209058847047
2587,サントリー食品インターナショナル,17.1,7.7,9.4,58.8,-1.8505543159678763,1.3,1.2508885540951669,0.0491114459048331,0.96222196468859
3064,MonotaRO,45,24.9,12.9,72.1,17.113632339521388,12.9,6.96647357869031,5.933526421309691,0.5400367115263806
3402,東レ,16.5,1.2,2.3,51.3,-12.764161257337973,0.8,-0.4530236536554475,1.2530236536554475,-0.5662795670693094
5803,フジクラ,20.6,13.1,8.7,49.3,5.120817690994695,3.9,3.031323827313804,0.8686761726861958,0.7772625198240524
6869,シスメックス,30.3,10.7,17,71,1.1646443527471382,3.6,2.593275882135,1.0067241178650002,0.7203544117041666
6988,東電工,14.6,13.1,18.3,79,23.32017066085693,1.7,2.664162589054544,-0.964162589054544,1.5671544641497317
7309,シマノ,28.4,9.1,14.4,91.6,49.21331055963907,2.2,2.93255111540955,-0.7325511154095499,1.3329777797316136
8697,本取引所G,30,17.9,55.6,0.4,0.0786165648601122,4.9,6.047177083248313,-1.1471770832483124,1.2341177720914922
9021,西本旅客鉄道,12.6,9.9,10.5,30.8,-43.919678261061904,1.3,0.971494234301132,0.3285057656988681,0.7473032571547168
9104,商船三井,9.5,15.8,8.5,53.9,-31.570189603705444,0.6,1.9437846358644064,-1.3437846358644063,3.2396410597740104
9435,光通信,15.2,13.4,15.7,39.9,-20.900829296559746,1.9,2.3800581076696523,-0.4800581076696524,1.252662161931396
9503,関西電力,6.3,13.7,10.8,31.8,-40.41071601543824,0.6,1.5377948711498486,-0.9377948711498486,2.5629914519164143
9531,東京瓦斯,13.1,4.3,5,44.8,-31.102232812541747,1,-0.2690413137934913,1.2690413137934913,-0.2690413137934913
1801,大成建設,10.9,4.5,1.5,37.4,-1.033189203299132,1.5,0.5498735341347891,0.9501264658652108,0.3665823560898594
2801,キッコーマン,22.9,12.1,10.4,74.8,4.543915786251093,2.7,2.4196639750073623,0.2803360249926379,0.8961718425953193
3092,ZOZO,27.4,45.9,30.4,52.6,43.78041637825461,13.5,11.964249614452829,1.5357503855471712,0.886240712181691
3407,旭化成,12.5,2.3,5.1,46.5,-17.452861829969162,0.7,-0.4279057905857524,1.1279057905857524,-0.6112939865510749
4704,トレンドマイクロ,35.2,29.4,17.6,29.2,39.08437334505741,11.7,8.923617181881603,2.776382818118396,0.7627023232377439
6383,ダイフク,21.3,14.3,12.7,57.8,21.124222637493155,3.5,3.6305144055398513,-0.1305144055398512,1.0372898301542433
7202,いすゞ自動車,10.4,12.1,8.7,44.2,-6.192743837902177,1,2.0318834268038755,-1.0318834268038757,2.0318834268038755
7259,アイシン,11.1,5.4,4.1,46.1,-10.40701582411427,0.7,0.3684448197967451,0.3315551802032548,0.5263497425667788
7453,良品計画,27.8,13,8.5,59,3.380009657170449,4,3.1739127765223705,0.8260872234776295,0.7934781941305926
7550,ゼンショーHD,36.8,12.4,5.6,29.9,-37.06610826283807,5.5,3.05890651876992,2.44109348123008,0.5561648215945308
7911,TOPPANHD,14.6,5.3,4.4,60,4.080765414961699,0.8,0.6440000783608097,0.1559999216391903,0.8050000979510121
8136,サンリオ,33.1,19.6,27,49.8,31.33903608041539,14.9,6.087320323441212,8.812679676558789,0.4085449881504169
8593,三菱HCキャピタル,10.7,6.9,7.5,15.2,-51.65693556669461,0.8,0.2736618681732659,0.5263381318267342,0.3420773352165823
9202,ANAHD,10.7,13.5,8.7,31.2,-20.687556849617582,1.2,2.249899502979299,-1.0498995029792992,1.8749162524827492
9502,中部電力,7.5,7.3,6.6,39.1,-38.11586888187365,0.5,0.0344717300930339,0.465528269906966,0.0689434601860679
9532,大阪瓦斯,10.9,8.3,8.3,49,-26.59148671684133,0.9,0.5711897186654422,0.3288102813345578,0.6346552429616025
9602,東宝,35.2,9.1,20.7,73.3,-3.737129977276485,2.8,2.3811720079478667,0.4188279920521331,0.8504185742670953
9719,SCSK,22.5,15.5,11.1,32.9,-14.66731598625582,4.4,3.523306920965532,0.8766930790344682,0.8007515729467117
1878,大東建託,11.4,20.1,6.5,38.1,-8.883587684814067,2.2,3.91232277703768,-1.71232277703768,1.7783285350171272
2413,エムスリー,26.9,10.7,22.1,65.1,8.268971930807696,3.2,2.763660364165584,0.4363396358344165,0.8636438638017448
3003,ヒューリック,10.6,12.4,27.6,25.5,-45.0243780280255,1.4,1.6908886500516502,-0.2908886500516503,1.20777760717975
3038,神戸物産,38.8,15.9,6.8,58.8,29.91927938904724,6.9,5.13343636898499,1.7665636310150106,0.7439762853601434
3088,マツキヨココカラ&カンパニー,20.3,10.3,7.4,70.7,11.183236152619004,2.1,2.0914894537412465,0.0085105462587535,0.995947358924403
4204,積水化学工業,12.5,10.1,8.3,60.7,-0.9641670411320828,1.3,1.4975676773384825,-0.1975676773384822,1.151975136414217
4523,エーザイ,28,4.9,7.2,61,9.650183129731785,1.4,1.4779753407704033,-0.0779753407704033,1.0556966719788596
4768,大塚商会,19.8,15,6.7,51.9,27.861193311855857,3,3.931260359956428,-0.9312603599564282,1.310420119985476
5019,出光興産,8.1,12.4,4,35.8,-14.122438388071435,0.6,1.8789717484122652,-1.2789717484122654,3.131619580687109
6532,ベイカレント,31.3,32.6,36.7,75.7,43.6746480567922,12.4,8.800304017643523,3.5996959823564776,0.7097019369067357
6586,マキタ,21.3,8.6,14.2,83.7,19.723639321298663,1.2,1.8015649127135267,-0.6015649127135267,1.501304093927939
6920,レーザーテック,16.1,33.3,38.1,59.2,17.538790439764167,6.7,7.757379005153275,-1.0573790051532752,1.157817761963175
7272,ヤマハ発動機,8,9.3,7,41.7,-1.2952752666516016,1,1.4272217864506969,-0.4272217864506968,1.4272217864506969
9005,東急,13.9,7.8,9.1,30.8,-39.421295409194514,1.3,0.677075101914927,0.622924898085073,0.5208270014730207
9024,西武HD,3.6,6.9,10,23.5,-48.35212763077553,2.4,-0.1879230091757691,2.587923009175769,-0.0783012538232371
9107,川崎汽船,4.2,6.1,8.8,75,-4.9601200024780825,0.7,-0.2663994089680241,0.966399408968024,-0.3805705842400345
9201,本航空,10,11,9.1,34.9,-6.830409390202844,1.2,1.9410273064967765,-0.7410273064967765,1.6175227554139804
1803,清水建設,16,2,1.2,34.1,-4.93761800909826,1.2,0.2431928218614574,0.9568071781385424,0.2026606848845478
2267,ヤクルト本社,17.1,8.9,12.6,67,21.918978246918183,1.6,2.01058499503288,-0.4105849950328801,1.25661562189555
2269,明治HD,19.2,6.8,7.6,61,0.0712997835542284,1.3,1.154093576733272,0.1459064232667279,0.8877642897948246
2875,東洋水産,15.7,11.6,13.6,80.7,36.92078154422451,1.9,2.6590349866792646,-0.7590349866792647,1.3994920982522443
3626,TIS,21.7,14.8,11.8,63.1,8.280736994025771,3,3.3101003526555983,-0.3101003526555983,1.1033667842185328
4188,三菱ケミカルG,19.3,6.6,6,29.7,-29.210350631168275,0.6,0.9719492332122844,-0.3719492332122843,1.6199153886871407
5411,JFEHD,11.2,7.9,5.5,44.1,-25.005781186445414,0.4,0.6090595265980421,-0.209059526598042,1.522648816495105
5929,三和HD,20.3,14.8,10.7,58.6,5.952862440665552,3.6,3.248902544877586,0.3510974551224142,0.9024729291326627
6361,荏原製作所,14.2,15.1,11.3,47.1,5.633652875129965,2.2,3.201569057871656,-1.0015690578716558,1.4552586626689343
7701,島津製作所,18.6,11.6,14.2,74.7,16.72426968238077,2.2,2.425735788512056,-0.2257357885120559,1.102607176596389
7735,SCREENHD,10.3,17,18.6,61.4,13.930588612466629,2.3,3.411003497528509,-1.1110034975285097,1.483044998925439
7912,大本印刷,8.7,9.2,5.3,60.9,-2.1712666336852307,0.8,1.0087344247561914,-0.2087344247561913,1.260918030945239
9023,東京地下鉄,17.9,7.5,21.3,35.3,-54.42255061596407,1.5,0.4914179977913442,1.0085820022086558,0.3276119985275628
9042,阪急阪神HD,14.1,6.6,10.6,32.5,-47.46385582007443,1,0.1909025590793376,0.8090974409206624,0.1909025590793376
9143,SGHD,16.9,10.1,6.8,53.5,1.253907439170175,1.6,1.938128139236564,-0.3381281392365636,1.2113300870228525
9684,スクウェア･エニックス･HD,35.9,4.5,9.1,79.5,53.013385709101,3,2.618171266942783,0.3818287330572172,0.8727237556475943
1911,住友林業,7,13.3,9.5,39.7,-19.963278545830416,1,1.847033284563808,-0.8470332845638078,1.847033284563808
2702,本マクドナルドHD,26.2,12.6,11.8,75.1,17.605178377544544,3.2,3.0723973056639764,0.1276026943360237,0.9601241580199926
2897,清食品HD,16.6,11.3,10,55.2,-4.160741365949259,1.9,2.0494796061515226,-0.1494796061515226,1.078673476921854
3635,コーエーテクモHD,29.1,20,38.6,89.9,10.743084812322474,4.2,4.717181704446563,-0.5171817044465632,1.1231385010587056
5334,本特殊陶業,10.6,13.7,19.9,68.1,4.601368765426867,1.4,2.3212101244585006,-0.9212101244585008,1.658007231756072
6305,立建機,11,10.1,10.6,45.2,-9.64050371690547,1.1,1.5285062132284146,-0.4285062132284145,1.3895511029349223
6465,ホシザキ,22.8,10.2,11.6,66.9,37.93754504140132,2.4,3.038476924256268,-0.6384769242562678,1.266032051773445
6479,ミネベアミツミ,15.1,7.1,5.2,48.5,-7.686847652182746,1.1,1.012855654885145,0.087144345114855,0.9207778680774046
6504,富士電機,11.6,13.3,10.5,52.7,-6.592718196886849,1.4,2.20505459733035,-0.8050545973303502,1.5750389980931074
6506,安川電機,17.2,13.2,9.3,58,-8.824051391955082,1.9,2.322217884290653,-0.422217884290653,1.2222199391003437
6841,横河電機,16.1,13.2,14.6,66.2,17.951829328517206,1.7,2.852492748320978,-1.152492748320978,1.677936910777046
7752,リコー,19.6,4.3,2.6,42.7,-9.463381440028057,0.9,0.6855997502992623,0.2144002497007376,0.7617775003325137
9404,本テレビHD,22,3.4,9.9,77.9,-0.9479688253724604,0.8,0.2046425095157547,0.5953574904842454,0.2558031368946933
1944,きんでん,14.4,7.9,8.6,72.9,10.303604874326542,1.3,1.1613289603230894,0.1386710396769106,0.8933299694792995
2212,山崎製パン,17.9,8.8,4.2,48.3,3.341197144529626,1.6,1.8358358127010752,-0.2358358127010751,1.1473973829381718
3099,三越伊勢丹HD,11.7,9.3,10.1,48.5,-15.100946372239749,1.1,1.1727906631442062,-0.0727906631442061,1.0661733301310965
3231,野村不動産HD,9.8,10,15.7,27.9,-48.28615978223526,1,0.8376999507327609,0.162300049267239,0.8376999507327609
3289,東急不動産HD,9.9,9,10.9,25.1,-50.74504869779276,0.9,0.5579384393310034,0.3420615606689966,0.6199315992566704
3349,コスモス薬品,29.9,9.8,3.3,52.5,-1.4446288870936783,2.9,2.524768692848685,0.3752313071513149,0.8706098940857535
4528,小野薬品工業,15.7,15.7,31.8,75.4,2.033716959375554,1,2.978986256562968,-1.978986256562968,2.978986256562968
4732,ユー･エス･エス,18.8,16.6,50.1,83.9,33.02661944089876,3.5,4.202756171590716,-0.7027561715907158,1.2007874775973473
6724,セイコーエプソン,15,6.9,5.5,55.3,4.088609307080657,0.8,1.134662590087136,-0.334662590087136,1.41832823760892
6845,アズビル,17.4,12.9,12.7,78.1,22.24054533133485,2.8,2.706302554624216,0.0936974453757839,0.9665366266515056
8227,しまむら,16,8.4,8.9,88.3,26.56080290014529,1.4,1.478280241463736,-0.078280241463736,1.0559144581883828
8439,東京センチュリー,9.1,7.9,7.7,13.8,-51.51383706098132,0.8,0.4410512662557477,0.3589487337442523,0.5513140828196846
9009,京成電鉄,11,17.3,8.5,47.6,-26.654173030612533,1.4,2.623912828392372,-1.223912828392372,1.8742234488516945
9064,ヤマトHD,28.2,6.4,0.8,46.5,-8.188473033576662,1.2,1.5834261422956926,-0.3834261422956926,1.3195217852464105
9401,TBSHD,17.1,3.7,3.8,72.8,-15.306740116066289,0.7,-0.348981961868283,1.048981961868283,-0.4985456598118329
2670,エービーシー･マート,14.7,12.3,16.8,87.7,46.34975222401337,1.8,2.898370900701946,-1.0983709007019458,1.6102060559455251
3197,すかいらーくHD,44.7,8.1,6,36.8,-34.14878118190738,3.8,2.486235029328864,1.3137649706711358,0.6542723761391748
3563,FOOD&LIFE COMPANIES,40.4,18,6.5,22,-44.40026382228758,7.4,4.500418010710595,2.899581989289405,0.6081645960419723
3769,GMOペイメントゲートウェイ,37,18.3,34.1,26.5,40.03934752574567,6.7,6.805315555064639,-0.1053155550646387,1.0157187395618863
3861,王子HD,11.1,4.7,4.3,41.5,-25.972208829108,0.6,-0.0996065915088566,0.6996065915088566,-0.1660109858480944
4042,東ソー,10.6,7.1,7.9,61.3,3.9689850893334753,0.8,0.8287193553551631,-0.028719355355163,1.0358991941939537
4816,東映アニメーション,34.9,13,26.4,81.4,42.47223051909627,4.7,4.347211448177572,0.3527885518224281,0.924938605995228
5332,TOTO,21,2.3,6.7,64.1,8.601908777723718,1.2,0.397925790506547,0.802074209493453,0.3316048254221225
5406,神戸製鋼所,5,9.9,7.3,38.8,-20.426616662157148,0.6,0.9518197192930232,-0.3518197192930233,1.5863661988217057
6448,ブラザー工業,11.3,4.5,6.1,74.8,12.1736917307605,0.9,0.2034742658778325,0.6965257341221675,0.2260825176420361
6460,セガサミーHD,16.7,8.6,12.1,59.3,1.5292570697551238,1.6,1.5386148412947067,0.0613851587052933,0.9616342758091916
9147,NIPPON EXPRESSHD,12.1,3.7,1.9,37.2,-18.06171658222856,0.8,0.0017062127682474,0.7982937872317526,0.0021327659603093
1808,長谷工コーポレーション,18.4,11.1,7.8,40.3,-19.21653258627796,1.1,1.993996248963135,-0.893996248963135,1.812723862693759
1942,関電工,12.6,11.5,8.7,61,6.234707072046683,1.6,2.0041085602219475,-0.4041085602219474,1.2525678501387172
2181,パーソルHD,15.6,16.1,3.9,35.7,7.0024720225882495,3,3.69183624137037,-0.6918362413703703,1.2306120804567902
2327,鉄ソリューションズ,21.4,10.4,11.4,62,38.12443330437548,2.4,3.106389065595266,-0.7063890655952663,1.294328777331361
2331,綜合警備保障,20,8,7.5,57.2,-1.4450237934972254,1.6,1.5059887881228202,0.0940112118771798,0.9412429925767626
4183,三井化学,10.6,5.8,4.2,40.1,-16.891926522391387,0.7,0.38386186577705,0.3161381342229499,0.5483740939672144
4751,サイバーエージェント,29.6,10.4,5.2,29.8,20.15269385795814,4,3.6951434450566296,0.3048565549433704,0.9237858612641574
6525,KOKUSAI ELECTRIC,19.7,11.9,17,51.3,-9.717248908296945,3.5,2.375012420741548,1.1249875792584525,0.6785749773547279
6806,ヒロセ電機,17.4,7,20.6,89,14.627995254479709,1.5,1.0499722898877422,0.4500277101122578,0.6999815265918281
7649,スギHD,16,10.2,4.8,50.6,4.939448533273011,2.2,2.0424727916543097,0.1575272083456904,0.9283967234792316
7747,朝インテック,32.1,10,20.6,83.2,13.758481039288908,3.8,2.659683250348877,1.1403167496511224,0.699916644828652
8252,丸井G,19.7,10,17.4,21.2,-38.6145790062448,2.1,1.8141194503690443,0.2858805496309557,0.8638664049376401
8572,アコム,19.5,8,29.3,45.1,-26.36444655370745,0.9,1.3195671149570458,-0.4195671149570458,1.4661856832856064
9007,小田急電鉄,12.6,17.3,12.4,36.1,-33.46468012608069,1.2,2.817114156571153,-1.6171141565711535,2.347595130475961
9041,近鉄GHD,13.1,8.7,5.4,22.1,-34.83609217786433,1.1,1.0898124398891382,0.0101875601108618,0.9907385817173984
9142,九州旅客鉄道,13.8,8.5,11.2,40,-38.48620039016279,1.3,0.6877941978215478,0.6122058021784522,0.5290724598627291
9508,九州電力,5.3,12.9,8.5,17.3,-57.22032724139573,0.6,1.1323383652240564,-0.5323383652240564,1.8872306087067607
2002,清製粉G本社,14.1,6.2,5.6,61.5,-4.232107170149728,1.1,0.5821958790750998,0.5178041209249002,0.5292689809773634
3391,ツルハHD,22.2,6.1,4.5,48.2,3.839982720849147,2,1.4950417751596303,0.5049582248403697,0.7475208875798152
3405,クラレ,12.1,4.2,10.3,59.2,-14.958357793063712,0.7,-0.1611969591918738,0.8611969591918738,-0.2302813702741054
4021,産化学,14.3,16.9,21.3,68.4,3.880082847880738,2.6,3.241059819678036,-0.6410598196780359,1.2465614691069369
4062,イビデン,22.8,6.2,12.8,46.1,5.739896281209244,1.1,1.7385864526871604,-0.6385864526871603,1.5805331388065094
4527,ロート製薬,17.1,12.1,14.8,63.3,7.850759794878906,2.2,2.460240284947893,-0.2602402849478928,1.1182910386126783
4733,オービックビジネスコンサルタント,30.9,10.2,46.3,76.2,73.87915911770627,3.4,4.645368891495297,-1.2453688914952967,1.366284968086852
5444,大和工業,13,5.7,6.8,84.8,29.764054018291024,0.9,0.8333186842343614,0.0666813157656386,0.9259096491492904
6417,三共,9.1,19.5,36.4,82.4,41.39690601249334,1.7,4.3929724668895584,-2.6929724668895583,2.584101451111505
7211,三菱自動車工業,15.2,15.9,6.8,42.4,7.707852370507993,0.5,3.537956723607061,-3.037956723607061,7.075913447214122
7276,小糸製作所,23.6,7.4,4.9,70.5,26.3069244183956,0.8,2.002142206974267,-1.202142206974267,2.5026777587178337
8056,BIPROGY,18.4,16,9.7,51.1,8.423699512808422,3.2,3.6165173305077034,-0.4165173305077023,1.130161665783657
8060,キヤノンマーケティングジャパン,13.9,10.3,8.1,73.3,28.107603650797003,1.4,2.123315569494766,-0.7233155694947659,1.516653978210547
8804,東京建物,9.8,12.3,17.2,25.8,-54.04372230598696,1,1.2625550463812931,-0.2625550463812933,1.2625550463812931
9962,ミスミG本社,16.9,10.5,11.6,83.2,34.239967204831565,1.5,2.336921493243527,-0.8369214932435272,1.5579476621623514
9989,サンドラッグ,18,11.1,5.5,60.5,4.18425369558005,2.1,2.143674304873733,-0.0436743048737331,1.020797288035111
2371,カカクコム,25.9,31.8,38.6,62,42.16939694165604,9,8.575193069553492,0.4248069304465076,0.952799229950388
2871,ニチレイ,18.8,9.4,5.4,50.8,-10.891826148119929,1.9,1.6112579025493587,0.2887420974506411,0.8480304750259783
3774,インターネットイニシアティブ,23.3,14.5,10.5,44.4,-8.203051360891356,3.5,3.271498556095896,0.2285014439041037,0.934713873170256
4004,レゾナック･HD,18.6,11.1,6.4,30.6,-31.7952100361498,0.7,1.8590794700113928,-1.1590794700113929,2.6558278143019898
4403,油,14.5,12.4,19,79.6,17.100792095283378,1.8,2.334195910297246,-0.5341959102972458,1.296775505720692
4536,参天製薬,15.5,9.4,12.8,71.3,10.364869309351832,1.8,1.6425027202153004,0.1574972797846996,0.9125015112307224
5021,コスモエネルギーHD,6.3,14,5.5,25.7,-14.345157426270646,0.9,2.3530577136692203,-1.4530577136692204,2.614508570743578
5101,横浜ゴム,6.2,8.4,10.9,51.5,-18.465046118104755,0.6,0.5157621701312152,0.0842378298687848,0.8596036168853587
5333,本碍子,9.6,7.6,13.1,63,-3.3765067988584287,0.7,0.71515180948417,-0.01515180948417,1.021645442120243
6370,栗田工業,26,8.4,10.7,61.5,-3.4640552784514718,1.5,1.8340073044104064,-0.3340073044104064,1.2226715362736045
