銘柄コード,会社名,時価総額,PER(会予),PBR,売上高,売上総利益率,営業CF/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産,配当性向,投資CF / 営業CF（3年平均）,セクター数
9433,KDDI,10308298,14.9,2,5754047,42.2,29.7,961584,16.7,637874,11.1,12.4,31.5,39.9,63,54.2,1.3,64.7,16284389,866243,2880295,182.7,130855,14.4,2866271,3138097,6492647,5591718,5679867,5137371,956968,0.5,-2271854,-13.951116,-5626404,-34.55090639,17.601342,19.27058485,42.80,-67.82,3
9434,ソフトバンク,10366519,20.3,3.9,6084002,48.2,20.4,876068,14.4,489074,8,18.5,16.2,38.1,60,39.1,2.3,75.3,16304840,1890824,2899760,174,201369,23.3,1825168,4941631,6215808,4048499,4163960,2645254,685615,1,-3050807,-18.71105144,-4324984,-26.52576781,11.19402582,30.30775524,77.34,-55.11,5
9983,ファーストリテイリング,14722874,35.9,6.7,3103836,53.9,21,500904,16.1,371999,12,16.9,58.9,12.9,3.3,8.1,0.2,267.9,3729143,977330,71647,8.4,459460,117.2,295779,591351,481853,1187039,2258711,2196302,547533,,385979,10.35034055,495477,13.2866184,7.931554247,15.85755762,33.00,-56.21,5
3382,セブン&アイ･HD,5773502,22.6,1.4,11972762,15.5,7.3,420991,3.5,173068,1.4,4.3,35.4,36,71,47.3,1,85.1,11386111,1368663,,,315787,13.6,4981298,3852050,4098791,2730128,4217445,4030211,337441,,-2483387,-21.81066916,-2730128,-23.97770406,43.74889723,33.83112987,60.04,-63.36,5
4568,第一三共,6910350,23,4.3,1886256,78,2.9,331925,17.6,295756,15.7,18.2,47,5.9,2.9,7.5,0.1,253.2,3456119,639838,619101,119.8,514910,452,498517,1078670,202265,518463,1623416,1623416,134030,,-438832,-12.69724798,437573,12.66081984,14.42418505,31.21044154,38.50,-26.86,3
4661,オリエンタルランド,5185770,45.7,5.3,679374,40.2,28.8,172111,25.3,124160,18.3,12.7,67.9,18.5,5.1,3.8,0.3,222.7,1438521,323416,30616,16.4,27597,24.8,820646,225230,266667,194656,977408,977408,92691,,98186,6.825482562,56749,3.944954575,57.0478985,15.65705332,18.60,-74.68,3
6201,豊田自動織機,5013794,20.9,1,4084984,23.3,4.2,221695,5.4,262312,6.4,5.3,52.2,31.5,59.1,51.3,0.6,191.7,9403481,378455,1720610,153.7,619804,72.2,1537333,2765950,2962871,2572231,5015246,4904686,39454,,-2387495,-25.38948077,-2584416,-27.48360953,16.3485522,29.41410739,32.70,-52.10,4
6367,ダイキン工業,5053684,18.9,1.8,4395317,34.3,9.1,392137,8.9,260311,5.9,9.2,53.6,17.3,18.1,0.3,0.3,182.9,5306961,931149,,,1108855,140.3,1290693,778221,915899,15250,2903475,2842443,156934,2.8,152928,2.881649215,15250,0.2873584336,24.32075532,14.66415525,36.50,-74.04,3
6503,三菱電機,5832867,17.2,1.5,5521711,30.6,8.3,391850,7.1,324084,5.9,8.2,61.9,5.7,6.2,7.9,0.1,202.9,6375680,757331,,,1244959,118.7,958458,452285,360661,462380,4076366,3949678,229834,,305046,4.784524945,396670,6.221610871,15.03303177,7.093909983,32.10,-41.85,6
6702,富士通,5605733,14.4,3.2,3550116,32.9,8.6,265089,7.5,219807,6.2,12.6,49.8,0,0,4.2,,156.6,3497808,236079,,,205900,31.5,368969,243663,0,236079,1902067,1740965,142984,,-7584,-0.2168215065,236079,6.749341302,10.54857785,6.966162808,23.15,-34.70,5
6857,アドバンテスト,4649577,26,9.2,779707,57.1,36.7,228161,29.3,161177,20.7,31.8,59.3,10.9,2,3.6,0.2,193.8,854210,262544,113031,52.9,209707,228.7,78602,38247,93503,169041,506539,506539,266540,,224297,26.25782887,169041,19.78916192,9.201718547,4.477470411,17.80,-24.83,3
6902,デンソー,5369803,10.4,1.1,7161777,15.4,10.6,518953,7.2,419081,5.9,8.4,61.3,14.1,21.3,0.9,0.2,185.4,8125000,986531,1242986,63.3,1203066,72.5,2009710,826744,1146404,47159,5188918,4978266,313321,,159787,1.966609231,-159873,-1.967667692,24.73489231,10.17531077,44.10,-30.19,5
7267,本田技研工業,6884589,7.2,0.5,20428802,21.6,3.7,1381977,6.8,1107174,5.4,8.5,41.7,36.8,167.9,92,0.9,138.4,31374150,4961025,1026082,18.3,2507597,57.1,3195253,9187588,11558842,6334303,13371117,13067738,138613,4.8,-4226563,-13.4714821,-6597817,-21.02946853,10.18434922,29.28394235,38.00,-78.55,4
7751,キヤノン,4191725,12.6,1.3,4509821,47.5,13.5,279754,6.2,160025,3.5,5,54.7,17.4,24.4,7.8,0.3,134,5874162,697150,631024,51.1,872825,134.6,1141462,460393,1024309,327159,3480059,3216064,369830,7.5,236757,4.030481284,-327159,-5.569458248,19.43191216,7.837594537,93.64,-57.06,5
8031,三井物産,7996228,10.4,1.1,14662620,8.8,6.9,,,900342,6.1,11.9,44.9,24.1,50.6,26.7,0.5,155.6,16811509,977356,2224953,55.4,960459,,2469558,5394692,4047663,2131198,7762632,7546615,671371,,-4417336,-26.27566627,-3070307,-18.26312558,14.68968669,32.08927884,32.60,-26.20,7
1925,大和ハウス工業,3250517,12.2,1.3,5202919,19.1,5.8,440210,8.5,298752,5.7,11.9,36.2,36.3,77.7,64.6,1,212.1,6955702,426404,,,2381061,206.4,2142692,2527918,2526201,2098797,2610450,2514595,53754,0.2,-2101514,-30.21282395,-2099797,-30.18813917,30.80482746,36.34310383,29.20,-137.33,7
4543,テルモ,4175497,33.5,3,921863,52,15.9,140096,15.2,106374,11.5,7.6,74.8,18.6,8.4,3.3,0.2,278.9,1877627,212556,186043,73.7,309007,254.8,430529,210213,349642,136650,1403566,1403566,67556,7.5,2343,0.1247851677,-137086,-7.301024112,22.92942102,11.19567411,32.91,-47.01,3
4578,大塚HD,4076147,14.8,1.5,2329861,71.7,15.2,323564,13.9,343120,14.7,13,71.7,8.4,7.6,3,0.1,187.9,3693051,407496,481223,75.4,308098,170.3,614902,300541,309570,124264,2690785,2648194,225276,13.5,106955,2.896114893,97926,2.651628694,16.65024393,8.138013799,18.90,-63.30,4
4901,富士フイルムHD,3678272,14.7,1.1,2960916,,,276725,,243509,8.2,7.2,64.3,0,0,0,,,5278927,216247,,,,,1739347,727814,0,,3396803,3396803,0,5.3,-511567,-9.690738288,216247,4.096419594,32.94887389,13.78715788,29.97,-133.06,4
5108,ブリヂストン,4124025,16.3,1.1,4430096,39,12.4,443319,10,284989,6.4,7.6,65.2,12.7,17.6,0.2,0.2,243.5,5723517,706732,1037345,85.5,945285,127.6,1840317,760785,727721,9562,3786488,3731606,211551,2.8,-54053,-0.9444018424,-20989,-0.366715081,32.15360416,13.29226418,50.46,-60.24,5
6752,パナソニックHD,3938457,12.7,0.8,8496420,29.4,10.2,360962,4.2,443994,5.2,9,50.6,14.7,36.1,4,0.3,137.5,9698499,1064562,1305079,56.1,1132525,68.9,1890277,1698428,1420928,157749,5107375,4908562,219699,5.8,-633866,-6.535712382,-356366,-3.674444881,19.49040774,17.5122769,30.60,-81.64,5
6981,村田製作所,3707960,20.9,1.4,1743352,41.2,25.9,279702,16,233818,13.4,9.1,85.2,2,1.7,16.6,0,541.7,3028194,625148,294419,61.6,482833,171.8,1183727,171702,61649,614184,2579975,2580805,259063,,453446,14.9741397,563499,18.60841809,39.090197,5.670112285,45.60,-46.11,3
7269,スズキ,3436039,9.3,1.2,5374255,26.3,8.3,465563,8.7,267717,5,9,49.3,20.6,36.1,4,0.4,158.3,6027686,788487,508593,34.5,631917,58.2,1673151,783602,1240075,136773,3700588,2973597,140355,4.4,4885,0.08104270859,-451588,-7.491896559,27.75776641,13.00004678,19.01,-86.11,4
8002,丸紅,4206463,8.2,1.2,7790168,14.7,7.7,272310,3.5,502965,6.5,13.9,39.4,49.5,108.3,88.5,1.3,142.5,9201974,569144,,,1180366,64.8,1125412,2610353,4553769,3723260,3768633,3629236,420391,,-2041209,-22.1822948,-3984625,-43.30185023,12.23011497,28.36731553,31.40,-34.79,6
8053,住友商事,4238653,7.4,0.9,7292084,19.8,8.4,,,561859,7.7,12.1,40,55.5,152.4,138.7,1.4,155.6,11631161,570617,2028193,101.5,1653842,103.2,1232605,3483963,6458328,5880049,4885558,4648462,509482,,-2913346,-25.04776608,-5887711,-50.62014875,10.59743735,29.95369938,28.00,-53.10,6
8801,三井不動産,4038686,16.8,1.3,2383289,24.9,10.1,339690,14.3,224647,9.4,7.5,30.6,45.6,110.9,105,1.5,190.4,9820325,239637,,,2070654,422.2,4416102,4920493,4478637,4238945,3130181,3007773,20865,0,-4680856,-47.66498054,-4239000,-43.16557751,44.96900052,50.10519509,34.73,-90.54,5
9020,東本旅客鉄道,3683467,16.2,1.3,2887553,35.7,25.4,376786,13,224285,7.8,7.8,28.1,45.7,126.2,119.9,1.6,71.8,10174224,233663,,,68596,13.5,7792162,5560017,4648645,4414972,2872216,2859544,38682,,-5326354,-52.35145206,-4414982,-43.39379593,76.58728567,54.64806947,30.26,-101.86,4
9613,NTTデータG,4155083,30.3,2.3,4367387,27.4,11.4,309551,7.1,133869,3.1,7.3,23.4,55.8,104.7,89.5,2.4,93.8,7798199,542016,1422258,118.9,72372,8.3,2096826,1907428,4349982,3716730,2908195,1827895,155684,0.5,-1365412,-17.50932491,-3807966,-48.83135196,26.88859312,24.45985285,24.60,-129.68,5
2502,アサヒGHD,2993681,16.9,1.1,2939422,37.3,13.7,269052,9.2,192080,6.5,7.2,49.4,23.7,42.7,39.4,0.5,56.8,5403405,83961,440335,54.7,271430,53.8,935441,1219044,1279176,1178136,2674051,2668801,267466,0.6,-1135083,-21.0068096,-1195215,-22.11966343,17.31206526,22.56066314,38.69,-30.48,5
2802,味の素,2993049,40,3.7,1439231,35.5,11.7,146682,10.2,87121,6.1,10.7,43.7,12,7.5,0.8,0.3,193.2,1856229,229374,195580,49.6,311552,122.6,595546,570700,223324,24648,880163,811413,96052,2,-341326,-18.38814069,6050,0.3259296132,32.08364916,30.74512897,57.30,-48.41,4
4307,野村総合研究所,3142015,30.2,7.2,764813,36,17,134907,17.6,93762,12.3,21.6,46.7,51.7,15.3,9.4,1.1,175.1,928501,168597,158295,75.5,,,38032,251059,479677,295458,437959,434041,80594,,-82462,-8.881196682,-311080,-33.50346419,4.096064517,27.03917389,38.60,-41.44,4
4452,花王,2804093,24.2,2.6,1628448,39.2,12.4,146644,9,107767,6.6,10.1,57.1,13.1,8.7,4.4,0.2,179.4,1867237,357713,238077,53.4,274628,101.2,423251,258802,245328,122910,1098835,1066776,134109,3.8,98911,5.297185092,112385,6.018786046,22.66723506,13.86015808,65.50,-43.01,5
4503,アステラス製薬,2610271,20.1,1.7,1912323,81.7,10.2,41039,2.1,50747,2.7,3.4,45.3,41.8,53.5,45.1,0.9,113.2,3339544,188372,632525,120.7,297261,310.7,328921,764679,1396319,1178006,1513255,1513255,137182,,-576307,-17.25705665,-1207947,-36.17101616,9.849278824,22.89770699,261.10,-146.76,5
4612,本ペイントHD,2587127,16,1.6,1638720,40.1,10.2,187647,11.5,127337,7.8,8,51.8,24.7,29.4,12.3,0.5,181.3,3071378,288301,376976,84,202484,75.3,478759,879078,760013,318128,1610227,1590983,115648,2,-590777,-19.23491671,-471712,-15.35831799,15.58775898,28.62161544,27.70,-91.40,6
5401,本製鉄,3130372,10.1,0.6,8868097,15.6,11.4,778662,8.8,549372,6.2,10.5,47.7,25.3,89.1,64.3,0.5,193.1,11024351,736108,1644969,67.7,2270861,110.8,3509546,2647957,2790665,2012664,5848630,5255338,543814,0.8,-1911849,-17.34205487,-2054557,-18.6365347,31.83449076,24.01916448,45.60,-58.10,4
6273,SMC,2997267,19.8,1.5,776873,46.7,12.6,196226,25.3,178321,23,9.2,91.6,0.2,0.2,19.8,0,993.6,2124567,566636,206308,96.9,517415,456.4,473258,41777,5043,592831,1945898,1945842,6101,4,524859,24.70428092,561593,26.43329205,22.27550367,1.966377149,40.90,-46.36,1
6594,ニデック,3001607,15,1.7,2607094,20.6,10.9,240200,9.2,167688,6.4,9.8,51.7,14.2,15.7,7.5,0.3,152.8,3325561,246239,706175,98.9,557880,98.4,931059,514275,472197,224672,1745569,1719296,135599,,-268036,-8.059873206,-225958,-6.794582929,27.99705072,15.46430813,27.41,-62.21,6
6762,TDK,2935641,19.3,1.6,2204806,31.2,20.2,224192,10.2,167161,7.6,9.3,50.8,26.9,32.5,6.1,0.5,167.2,3541415,697307,583133,96.5,410038,98.7,1030122,631701,954401,179790,1811254,1800070,445839,,65606,1.852536345,-257094,-7.259640567,29.0878646,17.83753104,35.30,-60.21,5
7532,パン･パシフィック･インターナショナルHD,2658134,29.5,4.6,2095077,31.6,7.2,140193,6.7,88701,4.2,15.5,36.6,31.1,18.3,10.7,0.8,121.5,1564179,202948,21338,3.7,229454,58.5,729089,495029,486725,283777,584175,572945,55961,,-292081,-18.67311861,-283777,-18.14223308,46.61160903,31.64784849,20.20,-52.51,3
7832,バンダイナムコHD,3298146,25.8,4,1050210,35.3,8.5,90682,8.6,101493,9.7,12.3,73.2,0,0,12,,276.4,1127592,395363,,,137209,73.7,133217,30267,0,395363,825391,824911,53997,3.1,365096,32.37837799,395363,35.06259356,11.81429098,2.684215567,35.90,-24.96,5
8015,豊田通商,3107875,9.1,1.2,10309550,10.9,5,497174,4.8,362506,3.5,13.8,37.2,44.5,101.1,69,1.2,166,7057462,951884,1824946,64.6,1198196,47.6,1185061,1756575,3142445,2145718,2745843,2624268,312626,,-804691,-11.40198842,-2190561,-31.03893439,16.79160299,24.88961329,30.58,-32.26,7
8802,三菱地所,3212764,18.6,1.3,1504687,26.1,20.4,278627,18.5,168432,11.2,7,30.4,43.8,107.3,97.7,1.4,200.8,7873537,299024,,,606993,199.2,4732912,4197843,3446547,3140398,2614021,2391264,144153,,-3898819,-49.51801204,-3147523,-39.97597268,60.11163725,53.31584776,28.50,-114.90,6
8830,住友不動産,2584809,13.5,1.2,967692,34.3,24,254666,26.3,177171,18.3,8.2,32.5,54.3,140,137.3,1.7,123.7,6659371,70469,,,816291,469,4574934,3696406,3618662,3548193,2163062,2163062,43636,,-3625937,-54.44864087,-3548193,-53.28120328,68.69919096,55.5068339,17.30,-145.18,2
9022,東海旅客鉄道,3184207,7.5,0.7,1831847,49.3,34.1,702794,38.4,458423,25,10,44.6,12.7,41.1,26.7,0.3,248.3,10323345,259468,,,41775,16.4,6058783,4882451,1308098,850730,4658550,4600536,159638,,-4622983,-44.78183186,-1048630,-10.15785097,58.69011449,47.295242,6.70,-88.56,4
9766,コナミG,2814168,40.2,5.9,360314,44.4,28.6,80262,22.3,59171,16.4,12.5,73.1,15.4,3.5,6.6,0.2,345.5,649714,285694,51095,51.8,14275,26,166566,68793,99800,185894,475265,475249,103061,15,216901,33.38407361,185894,28.61166606,25.63681866,10.58819727,30.00,-55.12,4
1605,INPEX,2184422,6.6,0.5,2265837,59.6,28.9,1271789,56.1,427344,18.9,8.9,65.3,14.4,48.7,30,0.2,163.1,7380863,241675,267476,43.1,67241,26.8,28864,1709366,1063911,655836,5137833,4821806,645758,1.6,-1467691,-19.88508661,-822236,-11.14010652,0.3910653808,23.15943271,24.91,-51.49,3
1928,積水ハウス,2130935,9.2,1.1,4058583,19.4,1.5,331366,8.2,217705,5.4,11.1,40.8,38.4,86.7,68.4,0.9,238.6,4808848,390559,2580,0.2,31862,3.6,534240,1234601,1847083,1456524,2018599,1962201,13808,0.3,-844042,-17.55185442,-1456524,-30.28841835,11.10952145,25.67352929,40.20,-456.74,5
2503,キリンHD,1739057,11.6,1.5,2338385,45.6,10.4,125340,5.4,58214,2.5,4.9,35.2,25.6,49.3,42,0.7,139.9,3354159,118617,502880,78.5,358985,103,674028,1076380,857569,730382,1533714,1181525,62260,5,-957763,-28.55449011,-738952,-22.03091744,20.09529065,32.09090565,98.80,-97.30,5
4091,本酸素HD,1969493,20.4,2,1255081,40.7,17.2,172041,13.7,105901,8.4,10.6,40.3,65.8,82.6,75.7,1.6,122.1,2473623,123734,263989,76.8,110238,54.1,932558,982113,1627736,1490410,1037772,997042,97634,0.4,-858379,-34.70128633,-1504002,-60.80158537,37.70008607,39.70342287,22.30,-57.22,5
4507,塩野義製薬,2090134,12.2,1.6,410073,92.1,37.6,153310,37.4,162030,39.5,12,88.7,1.5,1.1,27.2,0,763.6,1516585,305579,144006,128.2,67940,430.5,110554,45460,23057,568525,1362606,1345590,126017,25,260119,17.15162685,282522,18.62882727,7.289667246,2.997524043,30.61,-32.28,2
4684,オービック,2226742,31.8,5.1,121240,77.8,51.8,78378,64.6,64621,53.3,14.9,86.7,0,0,9,,713.1,500375,200065,15477,46.6,384,5.2,56117,35729,0,200065,433850,433850,60710,,164336,32.84256807,200065,39.98301274,11.21498876,7.140444667,47.65,-4.59,3
5020,ENEOSHD,1895439,17.2,0.6,13856662,9.7,7.3,464946,3.4,288121,2.1,9.1,31.6,52.4,278,242.1,1.7,141.5,10059326,519273,1717123,45.2,2004124,58.4,3477598,3066798,5268514,4588736,3643409,3178357,681874,0.2,-2547525,-25.32500686,-4749241,-47.2123182,34.57088477,30.48711216,32.50,-15.28,4
6326,クボタ,1922388,9.8,0.8,3016281,,9.4,315636,10.5,230437,7.6,9.3,41.2,37.9,118.5,97.8,0.9,161.5,6018665,295130,985228,119.2,692276,121,861840,1503541,2278077,1879156,2739766,2477314,68087,3.7,-1208411,-20.07772488,-1982947,-32.94662521,14.31945456,24.98130399,25.30,-272.56,3
7270,SUBARU,1925910,5.8,0.7,4702947,21.1,16.3,468198,10,385084,8.2,13.9,54.8,7.9,20.6,81.5,0.1,262.6,5046950,965917,388530,30.2,656421,64.6,1032294,1072042,397500,1570482,2766257,2764778,579518,2.8,-106125,-2.102755129,568417,11.26258433,20.45381864,21.24138341,20.82,-81.91,3
7733,オリンパス,2211535,21.1,3,936210,66.8,4.5,43598,4.7,242566,25.9,33,52.2,26.4,16.8,6.3,0.5,156.2,1406931,220257,188762,73.6,197102,231.3,260850,257716,371698,139901,734660,734660,22259,9.2,-37459,-2.66246177,-151441,-10.76392517,18.54035486,18.31760051,19.40,71.24,3
7936,アシックス,2306835,29.6,9.9,678526,55.8,15.4,100111,14.8,63806,9.4,27.4,44.9,22.6,5.1,0.4,0.5,189.6,518994,127021,74705,40.2,137596,167.6,33944,89314,117276,9745,234940,233036,80575,1,37707,7.265401912,9745,1.877671033,6.54034536,17.20906215,22.65,-15.41,6
8113,ユニ･チャーム,2362483,27.3,3.1,988981,39.4,13.9,,,81842,8.3,10.6,62.3,2.2,1.1,14.5,0,222.5,1239973,261054,168631,62.2,121133,73.8,293230,64678,26851,341898,873711,773062,97773,1,196376,15.83711903,234203,18.88774998,23.64809556,5.216081318,31.60,-37.90,3
9101,本郵船,2042271,4.5,0.7,2387240,17.3,16.8,174679,7.3,228603,9.6,7.8,65.9,17.5,38,30.2,0.3,125.2,4430962,160737,,,67231,12.4,1303201,862946,776914,616177,2965027,2919034,65133,0.2,-702209,-15.84777753,-616177,-13.90616755,29.41124298,19.47536449,30.40,-34.45,6
9697,カプコン,1742897,36,8.6,152410,55.5,24.2,57081,37.5,43374,28.5,21.4,80.8,2.8,0.4,6.7,0,647.3,251443,124574,15268,36.6,5655,30.5,31330,16747,6961,117613,203071,203066,31786,28.2,107827,42.88327772,117613,46.77521347,12.46008042,6.660356423,34.53,-16.56,4
9735,セコム,2231359,21.3,1.8,1154740,30.9,14.4,140658,12.2,101951,8.8,8.3,58.6,3.4,3.2,14.6,0.1,242.2,2099498,368306,,,55116,25.2,443808,316603,70976,326215,1399809,1229633,71339,0.7,51703,2.462636306,297330,14.16195681,21.13876746,15.07993816,37.51,-69.48,7
9843,ニトリHD,1896336,20.6,2,895799,50.9,16,127725,14.3,86523,9.7,9.1,71.6,16.9,11.8,3.2,0.2,113.1,1330099,163694,69871,28.5,102280,84.9,817385,61126,224512,60818,952050,952050,21632,,102568,7.7113057,-60818,-4.5724416,61.45294448,4.595597771,22.30,-113.57,2
1802,大林組,1586272,10.9,1.4,2325162,9.4,2.2,79381,3.4,75059,3.2,6.6,37.3,12.4,23.9,6.3,0.3,119.8,3064322,267560,36360,5.7,60485,10.5,736905,386522,378698,99546,1189900,1141735,27992,0.7,-118962,-3.88216382,-111138,-3.626838172,24.04789706,12.6136222,39.70,-48.42,3
1812,鹿島建設,1611825,13.4,1.4,2665175,10.9,4.6,136226,5.1,115033,4.3,9.7,34.8,27.4,57.8,36.6,0.8,121.4,3396944,342168,,,240695,37,588279,454041,931380,589212,1199875,1181691,79597,0.8,-111873,-3.293342487,-589212,-17.34535512,17.31788926,13.36616088,39.00,-199.36,5
2587,サントリー食品インターナショナル,1535728,17.1,1.3,1696765,38.1,11.4,160249,9.4,93495,5.5,7.7,58.8,1.3,1.8,9,0,121.4,2058032,160493,341028,73.4,118412,41.2,481950,198578,27216,137835,1315278,1209588,85423,0.7,-38085,-1.850554316,133277,6.475944009,23.41800322,9.648926742,39.70,-44.08,1
3064,MonotaRO,1363509,45,12.9,288119,29.3,9.9,37066,12.9,26338,9.1,24.9,72.1,0.9,0.1,2.1,0,268.1,146842,29470,35679,45.2,20413,36.6,36758,4340,1341,28129,106527,105894,25164,,25130,17.11363234,28129,19.15596355,25.03234769,2.955557674,35.80,-33.04,1
3402,東レ,1451008,16.5,0.8,2464596,18,7.5,57651,2.3,21897,0.9,1.2,51.3,40,96.7,78.9,0.8,177.9,3505056,239375,643770,95.3,569718,102.9,1128141,686766,1403295,1144412,1913863,1799683,51550,2.9,-447391,-12.76416126,-1163920,-33.20688742,32.18610487,19.59358139,36.79,-48.97,6
5803,フジクラ,1525452,20.6,3.9,799760,21.3,11.8,69483,8.7,51011,6.4,13.1,49.3,20.1,10.4,0.8,0.4,199.7,790323,147262,,,155678,90.3,169142,106791,159082,11820,417429,389782,73615,2.1,40471,5.120817691,-11820,-1.495591043,21.40162946,13.51232344,30.30,-19.42,6
6869,シスメックス,1666820,30.3,3.6,461510,52.5,13.8,78382,17,49639,10.8,10.7,71,9.2,3.6,1.4,0.1,312.6,652388,81940,152051,120.3,91004,151.7,123418,74342,60169,22628,463618,462885,13714,6.8,7598,1.164644353,21771,3.337124533,18.91788322,11.39536595,37.18,-72.11,4
6988,東電工,1824551,14.6,1.7,1013878,39,21.5,185667,18.3,137237,13.5,13.1,79,0,0,20.3,0,338.3,1321920,363344,210418,75.8,142932,84.4,417636,55070,455,370621,1045114,1044083,111905,,308274,23.32017066,362889,27.45166122,31.59313725,4.165910191,28.61,-61.77,4
7013,IHI,1699037,18.9,3.8,1322591,11,4.7,70138,5.3,68214,5.2,,19.4,39,53.1,47.5,2,115.4,2311511,91014,578451,159.6,504378,156.3,239021,603469,901843,806914,475345,448972,1124,3,-512455,-22.16969766,-810829,-35.07787763,10.34046561,26.10712214,16.10,-55.41,5
7309,シマノ,1814197,28.4,2.2,450993,38.2,19.3,65085,14.4,76329,16.9,9.1,91.6,0,0,25.8,,1150.8,912749,467893,47732,38.6,125470,164.3,188195,18699,0,467893,836850,835715,41455,3.6,449194,49.21331056,467893,51.26195701,20.61848329,2.048646452,36.20,-32.34,3
8697,本取引所G,1664194,30,4.9,162230,,53.1,90122,55.6,61092,37.7,17.9,0.4,0.1,4.4,11,0.2,100.2,85396761,98428,19790,44.5,,,9095,31292,72474,182864,351148,340824,70983,,67136,0.07861656486,25954,0.0303922534,0.01065028684,0.03664307596,77.49,-33.06,5
9021,西本旅客鉄道,1452374,12.6,1.3,1707944,24.5,16.5,180161,10.5,113958,6.7,9.9,30.8,38.5,99.4,90.7,1.2,88.4,3752359,125617,58412,12.5,181157,51.3,2713223,1773641,1443294,1317672,1280165,1156654,1814,,-1648024,-43.91967826,-1317677,-35.11596305,72.30712733,47.26735901,35.20,-82.60,5
9104,商船三井,1607160,9.5,0.6,1775470,17.9,20.3,150851,8.5,425492,24,15.8,53.9,36.4,113,102.8,0.7,108.9,4984449,163290,,,56429,14.1,2284803,1736890,1815443,1652153,2724218,2686462,93693,,-1573600,-31.5701896,-1652153,-33.14615116,45.8386273,34.84617858,30.30,-88.85,6
9435,光通信,1748158,15.2,1.9,601948,52.4,21.6,94546,15.7,122225,20.3,13.4,39.9,38.8,50.7,24.3,1,189.3,2284828,430663,312399,189.4,2563,3.3,36675,908211,886094,423930,938981,910816,111917,,-477548,-20.9008293,-455431,-19.93283521,1.605153648,39.74964417,24.70,-130.21,4
9503,関西電力,1849866,6.3,0.6,4337111,,13.6,468877,10.8,420364,9.7,13.7,31.8,40.5,211.2,160.3,1.3,117.3,9652655,942388,,,287421,,0,4843095,3906823,2964435,3107452,3065857,94935,,-3900707,-40.41071602,-2964435,-30.71108415,0,50.17370868,13.80,-63.89,4
9531,東京瓦斯,1754499,13.1,1,2636809,15.4,13.8,133090,5,74194,2.8,4.3,44.8,33.9,74.6,60.6,0.8,171.6,3855093,244388,,,138621,22.7,1453739,1443408,1308007,1063516,1801470,1725446,57051,,-1199020,-31.10223281,-1063619,-27.58996994,37.70957017,37.44158701,41.60,-70.18,4
1801,大成建設,1354089,10.9,1.5,1765023,7.2,2.3,26480,1.5,40272,2.3,4.5,37.4,14.3,25.1,10.3,0.4,124.3,2375170,201474,,,,,243315,226014,340546,139072,922433,888110,81697,1.1,-24540,-1.033189203,-139072,-5.855244046,10.24410884,9.515697824,30.80,-250.09,4
2801,キッコーマン,1367145,22.9,2.7,708979,33.7,10.4,73698,10.4,61695,8.7,12.1,74.8,8.7,4.3,5.6,0.1,380.3,679414,106184,82584,42.5,104896,81.5,189321,75312,59013,76449,516049,508539,33309,,30872,4.543915786,47171,6.942894906,27.86533689,11.08484665,38.47,-50.51,4
3092,ZOZO,1329165,27.4,13.5,213131,93,28.2,64756,30.4,45346,21.3,45.9,52.6,10.6,1.5,5.4,0.2,184.6,187810,91486,49453,84.7,2649,65.2,25447,9262,20000,71486,98719,98719,53829,,82224,43.78041638,71486,38.06293595,13.54933177,4.931579788,70.10,-19.20,7
3407,旭化成,1373812,12.5,0.7,2784878,29.3,10.6,140746,5.1,43806,1.6,2.3,46.5,30.8,90.8,64.4,0.7,169.1,4054888,363245,,,736290,136.5,928413,1070939,1248021,884776,1933747,1884610,123346,3.8,-707694,-17.45286183,-884776,-21.81998615,22.89614411,26.4110624,38.80,-107.24,4
4704,トレンドマイクロ,1370082,35.2,11.7,272638,76.2,17.2,48105,17.6,34358,12.6,29.4,29.2,0,0,15.4,,115.2,400316,170056,74795,100.1,8454,47.5,5548,13595,0,210895,119446,116966,21841,2.1,156461,39.08437335,170056,42.48044045,1.385905135,3.396067107,71.00,-19.68,2
6383,ダイフク,1386171,21.3,3.5,563228,22.2,20.6,71546,12.7,57086,10.1,14.3,57.8,9.2,4.6,11.4,0.2,248.1,688707,221521,3019,2,46467,38.7,85775,76037,63370,158151,398424,398094,104247,1.7,145484,21.12422264,158151,22.96346632,12.45449807,11.04054409,35.70,-25.34,3
7012,川崎重工業,1412520,18.1,2.1,1849287,16.9,1.7,,,25377,1.4,3.8,21.9,0,0,10.3,,107.4,3045769,129047,713264,140.8,863025,204.9,511570,439238,0,145306,690300,667784,64881,2.9,-310191,-10.18432455,129047,4.236926701,16.79608664,14.42125125,28.50,-136.39,6
