銘柄コード,会社名,時価総額,PER(会予),PBR,売上高,売上総利益率,営業CF/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産,配当性向,投資CF / 営業CF（3年平均）,セクター数
8570,イオンフィナンシャルサービス,260999,12.4,0.6,533262,,65.1,61485,11.5,19527,3.7,4.2,6,16.5,490.8,178.6,2.8,117.9,7760375,814786,79348,54.3,,,34512,872496,1280999,466213,589649,465023,307751,,-57710,-0.7436496303,-466213,-6.007609168,0.444720777,11.24296184,58.60,-64.84,5
1719,安藤･間,222438,8.4,1.4,394128,11,2.8,18591,4.7,13878,3.5,8.5,45.7,13.8,22.1,2.2,0.3,151.5,355873,44143,,,,,35929,14820,49133,4990,163754,162807,18192,0.8,29323,8.23973721,-4990,-1.402185611,10.0960174,4.164406965,41.50,-28.52,4
1893,五洋建設,231337,19.3,1.4,617708,8.6,1.5,29152,4.7,17875,2.9,10.6,24.1,33.1,100.3,78.1,1.4,119.9,701871,51400,,,,,108013,68565,232044,180607,169455,169260,1748,0.5,-17165,-2.445606101,-180644,-25.73749307,15.38929518,9.768889155,54.50,-745.67,4
4516,本新薬,251659,8,1,148255,66.1,11,33295,22.5,25851,17.4,10.4,87,0.9,1,22.9,0,557.6,284459,55421,50532,124.4,44501,323.3,34189,7556,2454,57623,247782,247469,6640,21.4,47865,16.82667801,52967,18.6202581,12.01895528,2.656270324,25.60,-71.78,2
4587,ペプチドリーム,261621,17.3,4.6,46676,73.9,51.1,21113,45.2,15014,32.2,26.5,61.2,21.2,7.5,10.9,0.3,310.8,92769,48117,5282,41.3,2671,80.1,17526,17600,19634,28490,56762,56762,21626,8.6,30517,32.89568714,28483,30.70314437,18.8920868,18.97185482,0.00,-49.09,2
4631,DIC,258813,10.8,0.6,1071127,20.7,4.3,44521,4.2,21313,2,5.3,32.7,39.5,187.1,163.2,1.2,182.4,1226433,61869,229744,78.3,280583,120.6,364141,472748,484332,422463,420615,401421,915,1.5,-410879,-33.50195241,-422463,-34.44648016,29.69106343,38.54658184,44.40,-109.47,4
4680,ラウンドワン,238312,14,3.1,159181,18.6,28,24195,15.2,15666,9.8,20.1,36,49.1,44.6,22.3,1.4,132.8,216309,53165,2106,4.8,5068,14.3,135657,87688,106311,53146,78184,77953,29066,,-34523,-15.96003865,-53146,-24.56948162,62.71445016,40.538304,26.80,-40.27,5
6674,ジーエス･ユアサコーポレーション,248298,9.2,0.7,562897,22.4,11.2,41595,7.4,32064,5.7,9.4,50.7,15.9,43.3,26.9,0.3,156.7,674333,40753,9026,5.9,131030,109.5,221321,94811,107503,66750,388055,341943,24224,2.1,-54058,-8.016514096,-66750,-9.898670242,32.82072804,14.0599674,24.70,-100.61,5
6728,アルバック,242433,10.5,1.1,261115,30.9,6.6,29771,11.4,20233,7.7,9.2,57.7,13.3,21,17.8,0.2,249.4,383412,94027,101515,141.9,70586,142.8,80408,45436,50966,43061,228351,221067,2719,5.1,48591,12.67331226,43061,11.23099955,20.97169624,11.85043765,35.10,-81.81,2
7205,野自動車,263256,13.2,1.5,1697229,17.4,0.1,57490,3.4,217753,12.8,,12.1,28.6,160.5,86.9,2.4,81.9,1478180,193603,263208,56.6,288247,75.1,442836,205789,422471,228868,251020,178468,72597,,-12186,-0.8243921579,-228868,-15.48309408,29.95819183,13.92178219,0.00,,4
7581,サイゼリヤ,231725,22.5,2.1,224542,58.8,10.7,14863,6.6,8149,3.6,7.3,65.6,14.6,10.8,18.4,0.2,291.8,171361,67614,2071,3.4,16617,65.6,63917,26557,25047,42567,112880,112366,15412,,41057,23.95936065,42567,24.84054131,37.29961893,15.49769201,15.30,-25.85,1
7947,エフピコ,235841,17.9,1.5,235628,31,11.8,18471,7.8,12486,5.3,8.1,52.5,27.6,34.1,26.1,0.5,117.2,292226,19020,42620,66,31683,71.1,173668,53739,80513,61493,154114,153429,12563,,-34719,-11.88087302,-61493,-21.0429599,59.42934578,18.38953413,39.80,-77.59,5
8282,ケーズHD,219902,18.3,0.9,718369,27.7,6.8,18724,2.6,7380,1,2.9,57.4,16.5,33.3,26.3,0.3,142.7,441999,15385,33263,16.9,177355,124.6,139833,23514,73139,57754,254086,253896,31370,,-8129,-1.839144432,-57754,-13.0665454,31.63649692,5.319921538,77.10,-61.26,6
8283,PALTAC,245961,11.2,0.9,1151966,7.5,2.3,27172,2.4,20638,1.8,7.2,54.5,0,0,24.7,,167.2,523038,60659,229704,72.8,67611,23.2,114383,10903,0,60659,284957,284957,20986,0,49756,9.512884341,60659,11.59743652,21.86896554,2.084552174,28.70,-19.95,5
9044,南海電気鉄道,255213,13.5,0.8,260787,16.4,16.8,34655,13.3,22496,8.6,7.2,31.9,44.3,169.6,152.9,1.4,63.6,976877,42849,,,27441,45.9,761701,459530,432950,390101,328225,311215,7469,,-416681,-42.65439764,-390101,-39.9334819,77.97307133,47.04072263,20.10,-52.45,6
9507,四国電力,246502,6,0.6,851399,92.1,15.2,89073,10.5,68324,8,15.6,26,49.2,337,284.2,1.9,141.6,1687484,130192,,,42070,227.2,0,1001988,830796,700604,440843,438018,51524,,-871796,-51.66247502,-700604,-41.51766772,0,59.37762965,12.00,-90.73,6
9616,共立メンテナンス,243192,17.4,2.5,204126,24,11.8,16708,8.2,12414,6.1,12.8,34.8,50,57.5,49.1,1.4,106.9,279763,20415,,,19426,45.7,135113,118049,139763,119348,97344,97344,539,0.2,-97634,-34.89882508,-119348,-42.66039469,48.29552157,42.1960731,20.37,-135.85,6
2121,MIXI,210162,12,1.2,146868,69.9,6.3,19177,13.1,7082,4.8,4.1,78.5,6.2,6.5,42.7,0.1,519.9,220445,101547,20274,50.4,519,4.3,19665,12950,13584,89649,175545,173016,5720,0,88597,40.19007009,87963,39.90247,8.920592438,5.874481163,47.00,-54.69,4
2201,森永製菓,217654,13,1.7,213368,40.6,14.1,20273,9.5,15154,7.1,12,60.4,9.1,8.7,4.1,0.2,194,209396,27978,35488,60.7,34109,98.3,77542,27062,19000,8978,127846,126453,19701,1.5,916,0.4374486619,8978,4.287569963,37.03127089,12.92383809,29.90,-77.28,4
2531,宝HD,223470,14.1,1,339372,33.6,8.6,22242,6.6,16176,4.8,7,50.7,12.6,25.9,7.8,0.2,237.6,458614,75237,75902,81.6,82199,133.1,115688,73078,57914,17323,284229,232648,9968,2.6,2159,0.4707662653,17323,3.777250585,25.22557096,15.93453318,37.40,-79.32,4
3107,ダイワボウHD,212470,8.9,1.5,967760,8.1,2.5,30963,3.2,4283,0.4,3,33.3,4.9,9.7,18.8,0.1,151.9,423998,60424,270297,101.9,51697,21.2,11164,23275,20570,39854,141420,141264,21818,0.1,37149,8.761597932,39854,9.399572639,2.633031288,5.489412686,33.20,-19.34,4
3401,帝人,229877,9.2,0.5,1032773,26.7,6.7,13542,1.3,10599,1,2.3,37.7,63.9,339.2,242.6,1.7,170.4,1219326,209631,178063,62.9,242265,116.8,255090,332716,779690,557706,466725,459867,4409,4.1,-123085,-10.09451123,-570059,-46.75197609,20.92057415,27.28687816,33.98,-27.49,5
4118,カネカ,221652,8.9,0.5,762302,26.8,8.1,32579,4.3,23220,3,5,51,22.6,92.5,72.4,0.4,138.7,908623,44482,,,196078,128.2,343604,102574,204948,160466,484478,463597,3355,4.6,-58092,-6.393410688,-160466,-17.66034978,37.81590385,11.28895042,32.40,-118.12,5
4206,アイカ工業,221068,12.1,1.3,248696,27.3,10.8,27408,11,16896,6.8,9.7,60.2,9.8,12.8,14.2,0.2,286,288058,59573,72317,106.1,33885,68.4,74019,35559,28207,31366,189723,173373,17789,,24014,8.336515563,31366,10.88877934,25.6958668,12.34438898,,-114.59,4
4272,本化薬,219850,12.3,0.8,201791,30.4,11.5,7337,3.6,4113,2,1.5,71.7,10.3,17.6,8.4,0.1,315.8,378006,53716,68627,124.1,75359,195.8,107668,38856,38799,18467,271883,270843,7778,9.8,14860,3.931154532,14917,3.946233658,28.48314577,10.27920192,56.00,-90.10,3
4887,サワイGHD,241083,9.1,1.2,176862,30.7,13.1,18620,10.5,13695,7.7,7.1,53.7,45.6,68.1,52.4,0.8,236.8,360088,35871,60644,125.2,110174,328.2,110372,77091,164111,126248,193525,193525,1500,6.9,-41220,-11.4472018,-128240,-35.6135167,30.65139633,21.40893337,54.90,-68.31,7
5032,ANYCOLOR,224840,21.3,12.5,31995,47.5,21.6,12361,38.6,8725,27.3,48.5,76.4,0.3,0,4.8,0,362.2,23547,10854,5586,63.7,3429,74.5,2444,0,72,10782,18000,18000,6493,,10854,46.09504395,10782,45.78927252,10.37924152,0,34.50,-12.26,5
5471,大同特殊鋼,223015,8,0.5,578564,16.9,8.7,42250,7.3,30555,5.3,7.2,52,39.7,146.1,122.5,0.8,221.1,820669,51410,173534,109.5,197689,150.1,231611,146009,325934,273175,467110,427136,17884,1.1,-94599,-11.52705902,-274524,-33.45124526,28.2222187,17.79146038,34.90,-19.68,5
5706,三井金属鉱業,221981,3.9,0.7,646697,14.8,11.7,31694,4.9,25989,4,8,47.8,27.9,84.8,65.2,0.6,191.3,675771,43404,,,196252,129.9,194580,141188,188218,144814,332088,323321,43740,2.1,-97784,-14.46999057,-144814,-21.42944873,28.79377777,20.89287643,15.90,-44.82,4
6951,本電子,236977,10.1,1.7,174336,45.5,8.8,27531,15.8,21704,12.4,15.4,61,4,3.9,10,0.1,220.4,230553,32818,,,84311,323.8,22351,13523,9142,23676,140676,140676,11826,5.9,19295,8.369008428,23676,10.26922226,9.694517096,5.865462605,29.00,-58.89,3
6960,フクダ電子,173548,10.5,1,140323,53.1,17,26506,18.9,18693,13.3,10.7,83.5,0.9,1,37,0,405.6,209429,65975,30263,78.7,15749,87.3,54587,5457,1800,64175,174856,174856,9791,3.4,60518,28.89666665,64175,30.64284316,26.06468063,2.605656332,30.20,-57.63,4
7451,三菱食品,232056,10.2,1.1,2076381,7.2,2.7,29528,1.4,22582,1.1,10.6,24,0,0,0.2,,114.9,888315,424,445585,78.3,101392,19.2,80605,31361,0,424,213911,213113,47092,,-30937,-3.482660993,424,0.04773081621,9.07392085,3.530391809,34.60,-33.98,4
8242,エイチ･ツー･オーリテイリング,231339,7.7,0.8,657400,43.7,7.5,26188,4,21905,3.3,7.5,39.7,22.2,71.1,44.2,0.6,85.3,739987,62108,91475,50.8,22809,22.5,315518,207419,164376,102268,306266,293889,18749,,-145311,-19.6369666,-102268,-13.82024279,42.63831662,28.03008702,14.21,-20.11,4
8273,イズミ,234339,12.8,0.8,524142,28.8,7.7,25425,4.9,11919,2.3,4.2,50.1,24.5,59.5,52.8,0.5,94.4,569611,15717,,,30074,34.7,344469,143442,139454,123737,299218,285522,21496,,-127725,-22.42319759,-123737,-21.72307066,60.47442904,25.18244907,54.00,-114.61,3
9744,メイテックGHD,230076,19.3,5.1,126976,27,11.6,17660,13.9,12343,9.7,27.2,53.5,0,0,20,,312.6,84898,46110,18184,52.3,285,1.1,4147,17449,0,46110,45397,45397,14407,,28661,33.75933473,46110,54.3122335,4.884685152,20.55289877,120.00,-6.12,3
9936,王将フードサービス,182244,22.9,2.6,101401,68.6,12,10286,10.1,7911,7.8,11.1,77.8,6,3,16.2,0.1,285.2,91425,34969,2894,10.4,841,9.6,38603,6386,5500,29469,71129,71129,8735,,28583,31.2638775,29469,32.23297785,42.22368061,6.98496035,37.10,-35.86,2
