,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
85,4684,オービック,2226742,31.8,5.1,1.5,121240.0,77.8,51.8,13.2,78378.0,64.6,64621.0,53.3,14.9,86.7,0.0,0.0,9.0,,713.1,500375.0,200065.0,15477.0,46.6,384.0,5.2,56117.0,35729.0,0.0,200065.0,433850.0,433850.0,60710,,164336.0,32.84256807394454,200065.0,39.983012740444664,11.214988758431177,7.140444666500125
87,5020,ENEOSHD,1895439,17.2,0.6,0.0,13856662.0,9.7,7.3,6.9,464946.0,3.4,288121.0,2.1,9.1,31.6,52.4,278.0,242.1,1.7,141.5,10059326.0,519273.0,1717123.0,45.2,2004124.0,58.4,3477598.0,3066798.0,5268514.0,4588736.0,3643409.0,3178357.0,681874,0.2,-2547525.0,-25.32500686427699,-4749241.0,-47.21231820104051,34.570884769019315,30.487112158409026
88,6326,クボタ,1922388,9.8,0.8,3.0,3016281.0,30.8,9.4,19.8,315636.0,10.5,230437.0,7.6,9.3,41.2,37.9,118.5,97.8,0.9,161.5,6018665.0,295130.0,985228.0,119.2,692276.0,121.0,861840.0,1503541.0,2278077.0,1879156.0,2739766.0,2477314.0,68087,3.7,-1208411.0,-20.077724877526826,-1982947.0,-32.946625206752664,14.319454563428932,24.981303993493572
89,7270,SUBARU,1925910,5.8,0.7,4.4,4702947.0,21.1,16.3,8.4,468198.0,10.0,385084.0,8.2,13.9,54.8,7.9,20.6,81.5,0.1,262.6,5046950.0,965917.0,388530.0,30.2,656421.0,64.6,1032294.0,1072042.0,397500.0,1570482.0,2766257.0,2764778.0,579518,2.8,-106125.0,-2.1027551293355393,568417.0,11.262584333112077,20.453818642942768,21.24138340978215
90,7733,オリンパス,2211535,21.1,3.0,1.0,936210.0,66.8,4.5,50.5,43598.0,4.7,242566.0,25.9,33.0,52.2,26.4,16.8,6.3,0.5,156.2,1406931.0,220257.0,188762.0,73.6,197102.0,231.3,260850.0,257716.0,371698.0,139901.0,734660.0,734660.0,22259,9.2,-37459.0,-2.662461769624808,-151441.0,-10.763925167616607,18.54035485748768,18.317600507771882
91,7936,アシックス,2306835,29.6,9.9,0.8,678526.0,55.8,15.4,41.1,100111.0,14.8,63806.0,9.4,27.4,44.9,22.6,5.1,0.4,0.5,189.6,518994.0,127021.0,74705.0,40.2,137596.0,167.6,33944.0,89314.0,117276.0,9745.0,234940.0,233036.0,80575,1.0,37707.0,7.265401912160835,9745.0,1.8776710328057742,6.5403453604473265,17.209062147153915
92,8113,ユニ･チャーム,2362483,27.3,3.1,1.3,988981.0,39.4,13.9,25.4,,,81842.0,8.3,10.6,62.3,2.2,1.1,14.5,0.0,222.5,1239973.0,261054.0,168631.0,62.2,121133.0,73.8,293230.0,64678.0,26851.0,341898.0,873711.0,773062.0,97773,1.0,196376.0,15.837119034043484,234203.0,18.887749975201075,23.64809556337114,5.216081317899664
96,9101,本郵船,2042271,4.5,0.7,6.6,2387240.0,17.3,16.8,10.0,174679.0,7.3,228603.0,9.6,7.8,65.9,17.5,38.0,30.2,0.3,125.2,4430962.0,160737.0,,,67231.0,12.4,1303201.0,862946.0,776914.0,616177.0,2965027.0,2919034.0,65133,0.2,-702209.0,-15.84777752551252,-616177.0,-13.906167554585211,29.411242976130243,19.47536449195457
97,9697,カプコン,1742897,36.0,8.6,1.0,152410.0,55.5,24.2,18.1,57081.0,37.5,43374.0,28.5,21.4,80.8,2.8,0.4,6.7,0.0,647.3,251443.0,124574.0,15268.0,36.6,5655.0,30.5,31330.0,16747.0,6961.0,117613.0,203071.0,203066.0,31786,28.2,107827.0,42.88327772099442,117613.0,46.775213467863495,12.460080415839773,6.6603564227280145
98,9735,セコム,2231359,21.3,1.8,0.0,1154740.0,30.9,14.4,18.8,140658.0,12.2,101951.0,8.8,8.3,58.6,3.4,3.2,14.6,0.1,242.2,2099498.0,368306.0,,,55116.0,25.2,443808.0,316603.0,70976.0,326215.0,1399809.0,1229633.0,71339,0.7,51703.0,2.4626363063932426,297330.0,14.161956810628066,21.138767457744663,15.079938156645065
99,9843,ニトリHD,1896336,20.6,2.0,0.9,895799.0,50.9,16.0,36.6,127725.0,14.3,86523.0,9.7,9.1,71.6,16.9,11.8,3.2,0.2,113.1,1330099.0,163694.0,69871.0,28.5,102280.0,84.9,817385.0,61126.0,224512.0,60818.0,952050.0,952050.0,21632,,102568.0,7.711305699801294,-60818.0,-4.572441600211714,61.45294448007254,4.595597771293716
100,1802,大林組,1586272,10.9,1.4,0.0,2325162.0,9.4,2.2,6.0,79381.0,3.4,75059.0,3.2,6.6,37.3,12.4,23.9,6.3,0.3,119.8,3064322.0,267560.0,36360.0,5.7,60485.0,10.5,736905.0,386522.0,378698.0,99546.0,1189900.0,1141735.0,27992,0.7,-118962.0,-3.8821638195985932,-111138.0,-3.626838171706498,24.047897055205034,12.613622197667215
101,1812,鹿島建設,1611825,13.4,1.4,3.0,2665175.0,10.9,4.6,5.8,136226.0,5.1,115033.0,4.3,9.7,34.8,27.4,57.8,36.6,0.8,121.4,3396944.0,342168.0,,,240695.0,37.0,588279.0,454041.0,931380.0,589212.0,1199875.0,1181691.0,79597,0.8,-111873.0,-3.2933424866585965,-589212.0,-17.345355119189485,17.317889255754583,13.366160878719224
102,2587,サントリー食品インターナショナル,1535728,17.1,1.3,2.4,1696765.0,38.1,11.4,28.2,160249.0,9.4,93495.0,5.5,7.7,58.8,1.3,1.8,9.0,0.0,121.4,2058032.0,160493.0,341028.0,73.4,118412.0,41.2,481950.0,198578.0,27216.0,137835.0,1315278.0,1209588.0,85423,0.7,-38085.0,-1.8505543159678763,133277.0,6.475944008645153,23.418003218608845,9.648926741663882
103,3064,MonotaRO,1363509,45.0,12.9,1.1,288119.0,29.3,9.9,16.4,37066.0,12.9,26338.0,9.1,24.9,72.1,0.9,0.1,2.1,0.0,268.1,146842.0,29470.0,35679.0,45.2,20413.0,36.6,36758.0,4340.0,1341.0,28129.0,106527.0,105894.0,25164,,25130.0,17.113632339521388,28129.0,19.155963552662044,25.032347693439206,2.9555576742348917
104,3402,東レ,1451008,16.5,0.8,2.0,2464596.0,18.0,7.5,14.1,57651.0,2.3,21897.0,0.9,1.2,51.3,40.0,96.7,78.9,0.8,177.9,3505056.0,239375.0,643770.0,95.3,569718.0,102.9,1128141.0,686766.0,1403295.0,1144412.0,1913863.0,1799683.0,51550,2.9,-447391.0,-12.764161257337973,-1163920.0,-33.20688742205545,32.18610487250418,19.593581386431485
107,5803,フジクラ,1525452,20.6,3.9,1.4,799760.0,21.3,11.8,12.7,69483.0,8.7,51011.0,6.4,13.1,49.3,20.1,10.4,0.8,0.4,199.7,790323.0,147262.0,,,155678.0,90.3,169142.0,106791.0,159082.0,11820.0,417429.0,389782.0,73615,2.1,40471.0,5.120817690994695,-11820.0,-1.495591043155773,21.401629460359878,13.512323442440621
108,6869,シスメックス,1666820,30.3,3.6,1.1,461510.0,52.5,13.8,29.0,78382.0,17.0,49639.0,10.8,10.7,71.0,9.2,3.6,1.4,0.1,312.6,652388.0,81940.0,152051.0,120.3,91004.0,151.7,123418.0,74342.0,60169.0,22628.0,463618.0,462885.0,13714,6.8,7598.0,1.1646443527471382,21771.0,3.337124533253218,18.917883222867374,11.395365947871513
109,6988,東電工,1824551,14.6,1.7,2.3,1013878.0,39.0,21.5,15.0,185667.0,18.3,137237.0,13.5,13.1,79.0,0.0,0.0,20.3,0.0,338.3,1321920.0,363344.0,210418.0,75.8,142932.0,84.4,417636.0,55070.0,455.0,370621.0,1045114.0,1044083.0,111905,,308274.0,23.320170660856935,362889.0,27.451661220043572,31.59313725490196,4.165910191236988
110,7013,IHI,1699037,18.9,3.8,1.1,1322591.0,11.0,4.7,16.1,70138.0,5.3,68214.0,5.2,,19.4,39.0,53.1,47.5,2.0,115.4,2311511.0,91014.0,578451.0,159.6,504378.0,156.3,239021.0,603469.0,901843.0,806914.0,475345.0,448972.0,1124,3.0,-512455.0,-22.169697656641045,-810829.0,-35.07787763069265,10.340465608859313,26.107122137857015
111,7309,シマノ,1814197,28.4,2.2,1.6,450993.0,38.2,19.3,23.8,65085.0,14.4,76329.0,16.9,9.1,91.6,0.0,0.0,25.8,,1150.8,912749.0,467893.0,47732.0,38.6,125470.0,164.3,188195.0,18699.0,0.0,467893.0,836850.0,835715.0,41455,3.6,449194.0,49.21331055963907,467893.0,51.2619570111827,20.61848328510905,2.0486464515436333
112,8697,本取引所G,1664194,30.0,4.9,2.7,162230.0,,53.1,,90122.0,55.6,61092.0,37.7,17.9,0.4,0.1,4.4,11.0,0.2,100.2,85396761.0,98428.0,19790.0,44.5,,,9095.0,31292.0,72474.0,182864.0,351148.0,340824.0,70983,,67136.0,0.0786165648601122,25954.0,0.030392253401742016,0.010650286841675412,0.03664307595928609
114,9021,西本旅客鉄道,1452374,12.6,1.3,2.8,1707944.0,24.5,16.5,13.9,180161.0,10.5,113958.0,6.7,9.9,30.8,38.5,99.4,90.7,1.2,88.4,3752359.0,125617.0,58412.0,12.5,181157.0,51.3,2713223.0,1773641.0,1443294.0,1317672.0,1280165.0,1156654.0,1814,,-1648024.0,-43.919678261061904,-1317677.0,-35.11596305150973,72.30712732976775,47.26735901335666
115,9104,商船三井,1607160,9.5,0.6,3.3,1775470.0,17.9,20.3,9.4,150851.0,8.5,425492.0,24.0,15.8,53.9,36.4,113.0,102.8,0.7,108.9,4984449.0,163290.0,,,56429.0,14.1,2284803.0,1736890.0,1815443.0,1652153.0,2724218.0,2686462.0,93693,,-1573600.0,-31.570189603705444,-1652153.0,-33.146151159335766,45.83862729862418,34.84617858463393
116,9435,光通信,1748158,15.2,1.9,1.6,601948.0,52.4,21.6,36.5,94546.0,15.7,122225.0,20.3,13.4,39.9,38.8,50.7,24.3,1.0,189.3,2284828.0,430663.0,312399.0,189.4,2563.0,3.3,36675.0,908211.0,886094.0,423930.0,938981.0,910816.0,111917,,-477548.0,-20.900829296559742,-455431.0,-19.932835206851458,1.605153648327139,39.749644174528676
117,9503,関西電力,1849866,6.3,0.6,3.6,4337111.0,,13.6,,468877.0,10.8,420364.0,9.7,13.7,31.8,40.5,211.2,160.3,1.3,117.3,9652655.0,942388.0,,,287421.0,,0.0,4843095.0,3906823.0,2964435.0,3107452.0,3065857.0,94935,,-3900707.0,-40.41071601543824,-2964435.0,-30.711084152494834,0.0,50.173708684294624
118,9531,東京瓦斯,1754499,13.1,1.0,1.7,2636809.0,15.4,13.8,10.4,133090.0,5.0,74194.0,2.8,4.3,44.8,33.9,74.6,60.6,0.8,171.6,3855093.0,244388.0,,,138621.0,22.7,1453739.0,1443408.0,1308007.0,1063516.0,1801470.0,1725446.0,57051,,-1199020.0,-31.102232812541747,-1063619.0,-27.58996994365635,37.7095701711995,37.44158701229775
119,1801,大成建設,1354089,10.9,1.5,2.8,1765023.0,7.2,2.3,5.7,26480.0,1.5,40272.0,2.3,4.5,37.4,14.3,25.1,10.3,0.4,124.3,2375170.0,201474.0,,,,,243315.0,226014.0,340546.0,139072.0,922433.0,888110.0,81697,1.1,-24540.0,-1.033189203299132,-139072.0,-5.855244045689361,10.244108842735468,9.515697823734723
120,2801,キッコーマン,1367145,22.9,2.7,1.7,708979.0,33.7,10.4,22.8,73698.0,10.4,61695.0,8.7,12.1,74.8,8.7,4.3,5.6,0.1,380.3,679414.0,106184.0,82584.0,42.5,104896.0,81.5,189321.0,75312.0,59013.0,76449.0,516049.0,508539.0,33309,,30872.0,4.543915786251093,47171.0,6.942894906492948,27.865336893263905,11.084846647257784
121,3092,ZOZO,1329165,27.4,13.5,2.6,213131.0,93.0,28.2,62.7,64756.0,30.4,45346.0,21.3,45.9,52.6,10.6,1.5,5.4,0.2,184.6,187810.0,91486.0,49453.0,84.7,2649.0,65.2,25447.0,9262.0,20000.0,71486.0,98719.0,98719.0,53829,,82224.0,43.780416378254614,71486.0,38.06293594590278,13.549331771471168,4.931579788083702
122,3407,旭化成,1373812,12.5,0.7,3.6,2784878.0,29.3,10.6,24.2,140746.0,5.1,43806.0,1.6,2.3,46.5,30.8,90.8,64.4,0.7,169.1,4054888.0,363245.0,,,736290.0,136.5,928413.0,1070939.0,1248021.0,884776.0,1933747.0,1884610.0,123346,3.8,-707694.0,-17.452861829969162,-884776.0,-21.81998615004903,22.896144110515507,26.41106240172355
123,4704,トレンドマイクロ,1370082,35.2,11.7,0.0,272638.0,76.2,17.2,58.5,48105.0,17.6,34358.0,12.6,29.4,29.2,0.0,0.0,15.4,,115.2,400316.0,170056.0,74795.0,100.1,8454.0,47.5,5548.0,13595.0,0.0,210895.0,119446.0,116966.0,21841,2.1,156461.0,39.08437334505741,170056.0,42.480440452042885,1.3859051349433948,3.3960671069854813
124,6383,ダイフク,1386171,21.3,3.5,1.7,563228.0,22.2,20.6,9.4,71546.0,12.7,57086.0,10.1,14.3,57.8,9.2,4.6,11.4,0.2,248.1,688707.0,221521.0,3019.0,2.0,46467.0,38.7,85775.0,76037.0,63370.0,158151.0,398424.0,398094.0,104247,1.7,145484.0,21.124222637493155,158151.0,22.963466321672353,12.454498066666957,11.040544092044948
125,7012,川崎重工業,1412520,18.1,2.1,1.7,1849287.0,16.9,1.7,14.9,,,25377.0,1.4,3.8,21.9,0.0,0.0,10.3,,107.4,3045769.0,129047.0,713264.0,140.8,863025.0,204.9,511570.0,439238.0,0.0,145306.0,690300.0,667784.0,64881,2.9,-310191.0,-10.184324549891997,129047.0,4.236926700613211,16.796086636905162,14.42125125050521
126,7202,いすゞ自動車,1398196,10.4,1.0,4.7,3386676.0,20.1,8.8,11.4,293085.0,8.7,176442.0,5.2,12.1,44.2,21.7,51.0,23.9,0.5,170.6,3290803.0,379122.0,,,712552.0,96.1,946403.0,582913.0,713713.0,334591.0,1619773.0,1454830.0,137187,3.7,-203791.0,-6.192743837902177,-334591.0,-10.167457608370967,28.759029331138937,17.71339700371004
127,7259,アイシン,1386519,11.1,0.7,3.6,4896104.0,11.5,6.9,7.7,202941.0,4.1,107586.0,2.2,5.4,46.1,28.9,89.2,55.3,0.6,158.6,4284600.0,451690.0,737206.0,55.0,530082.0,44.7,1424038.0,897589.0,1236462.0,767018.0,2233265.0,1977264.0,103448,,-445899.0,-10.40701582411427,-784772.0,-18.31610885496896,33.23619474396676,20.949190122765252
128,7453,良品計画,1264319,27.8,4.0,0.9,661677.0,50.8,8.8,42.4,56135.0,8.5,41566.0,6.3,13.0,59.0,21.0,9.0,0.4,0.4,299.3,540531.0,118899.0,14508.0,8.0,171619.0,192.6,102261.0,100629.0,113461.0,5438.0,323428.0,319097.0,23918,0.3,18270.0,3.380009657170449,5438.0,1.0060477567429065,18.918618913623824,18.61669358464177
129,7550,ゼンショーHD,1362978,36.8,5.5,0.8,965778.0,54.3,8.9,48.7,53707.0,5.6,30693.0,3.2,12.4,29.9,36.7,22.3,15.3,1.2,139.2,827597.0,84311.0,57200.0,21.6,72766.0,60.1,266636.0,391069.0,304128.0,207892.0,248142.0,247861.0,43890,0.1,-306758.0,-37.06610826283807,-219817.0,-26.560874435262573,32.21809648899162,47.253554568225844
130,7911,TOPPANHD,1170920,14.6,0.8,1.2,1678249.0,23.1,9.4,18.7,74286.0,4.4,74395.0,4.4,5.3,60.0,7.3,14.6,21.3,0.1,220.9,2348530.0,415088.0,,,160407.0,45.4,663934.0,319250.0,170951.0,249440.0,1556542.0,1409932.0,55598,1.7,95838.0,4.080765414961699,244137.0,10.39531110950254,28.270194547227412,13.593609619634409
131,8136,サンリオ,1340886,33.1,14.9,0.9,99981.0,72.1,22.2,45.2,26952.0,27.0,17584.0,17.6,19.6,49.8,24.7,3.3,4.4,0.5,324.6,180264.0,103993.0,22992.0,83.9,8898.0,116.6,15411.0,47500.0,44597.0,59396.0,90141.0,89716.0,19834,,56493.0,31.33903608041539,59396.0,32.94945191496916,8.54912794567967,26.35024186748325
132,8593,三菱HCキャピタル,1438791,10.7,0.8,4.0,1950583.0,19.5,2.5,12.0,146176.0,7.5,123842.0,6.3,6.9,15.2,70.9,581.7,561.9,4.7,168.4,11805106.0,282080.0,,,49808.0,11.6,4708997.0,6380236.0,8368976.0,8084584.0,1805853.0,1788833.0,49128,,-6098156.0,-51.656935566694614,-8086896.0,-68.50337472615664,39.88949358015083,54.046410087296124
134,9202,ANAHD,1307672,10.7,1.2,2.2,2261856.0,18.5,16.5,9.8,196639.0,8.7,153027.0,6.8,13.5,31.2,37.3,103.2,10.1,1.2,132.7,3620297.0,454709.0,246650.0,39.8,75844.0,15.0,1404955.0,1203660.0,1349058.0,132640.0,1140095.0,1130317.0,117104,,-748951.0,-20.687556849617586,-894349.0,-24.70374668155679,38.8077276532837,33.2475484746141
135,9502,中部電力,1396028,7.5,0.5,3.8,3669234.0,,8.2,,242045.0,6.6,202087.0,5.5,7.3,39.1,38.7,197.5,176.5,1.0,91.1,7124812.0,293547.0,,,305019.0,,0.0,3009231.0,2757168.0,2463621.0,2858530.0,2786524.0,28804,,-2715684.0,-38.11586888187365,-2463621.0,-34.57804921729865,0.0,42.23593548854342
136,9532,大阪瓦斯,1455065,10.9,0.9,0.0,2083050.0,19.7,15.0,11.4,172553.0,8.3,132679.0,6.4,8.3,49.0,26.4,58.9,47.5,0.5,158.5,3249980.0,166194.0,,,260701.0,56.9,1359819.0,1030412.0,857626.0,691432.0,1638479.0,1590879.0,125243,0.5,-864218.0,-26.591486716841334,-691432.0,-21.27496169207195,41.84084209748983,31.70517972418292
137,9602,東宝,1318473,35.2,2.8,1.1,313171.0,46.2,16.5,25.5,64684.0,20.7,43357.0,13.8,9.1,73.3,0.3,0.1,6.1,0.0,222.2,653068.0,42905.0,,,21067.0,45.6,243502.0,67311.0,1908.0,80033.0,494815.0,478390.0,19085,,-24406.0,-3.7371299772764854,40997.0,6.277600494894865,37.28585690923457,10.30688994101686
138,9719,SCSK,1294461,22.5,4.4,2.3,596065.0,26.8,11.4,15.4,66121.0,11.1,45035.0,7.6,15.5,32.9,50.8,34.7,26.2,1.5,97.6,885029.0,105623.0,156209.0,95.7,28111.0,23.5,89354.0,235433.0,449762.0,339124.0,292565.0,291420.0,50760,,-129810.0,-14.667315986255819,-344139.0,-38.8844885308843,10.096166340312013,26.601727175041724
139,1878,大東建託,1025259,11.4,2.2,0.0,1842357.0,17.1,4.6,10.7,118875.0,6.5,93858.0,5.1,20.1,38.1,10.2,12.1,11.2,0.3,184.1,1222783.0,235890.0,,,203083.0,48.6,184276.0,344517.0,124475.0,114421.0,467433.0,466391.0,61287,,-108627.0,-8.883587684814067,111415.0,9.111592163122975,15.0702127850976,28.174827422363574
140,2413,エムスリー,1212412,26.9,3.2,0.0,284900.0,54.2,18.2,32.6,62971.0,22.1,40484.0,14.2,10.7,65.1,4.2,2.0,11.7,0.1,296.4,581741.0,134933.0,65047.0,83.3,,,48609.0,86829.0,24420.0,142333.0,412799.0,378436.0,42752,,48104.0,8.268971930807696,110513.0,18.996941938078972,8.355780321483271,14.92571436429614
141,3003,ヒューリック,1143535,10.6,1.4,3.8,591615.0,39.0,59.7,11.4,163360.0,27.6,102341.0,17.3,12.4,25.5,64.3,182.7,161.7,2.5,97.8,3250468.0,240261.0,,,384151.0,388.8,1802898.0,1703764.0,2088863.0,1848602.0,852028.0,827798.0,21379,,-1463503.0,-45.0243780280255,-1848602.0,-56.87187198889514,55.46579754053877,52.41595979409735
142,3038,神戸物産,932090,38.8,6.9,0.6,507883.0,11.5,6.1,4.7,34350.0,6.8,21443.0,4.2,15.9,58.8,16.0,4.0,7.8,0.3,316.6,229805.0,109793.0,25932.0,18.6,19594.0,15.9,63941.0,41037.0,36846.0,72947.0,138692.0,135149.0,20441,,68756.0,29.919279389047237,72947.0,31.742999499575724,27.82402471660756,17.85731380953417
143,3088,マツキヨココカラ&カンパニー,1065005,20.3,2.1,1.6,1022531.0,34.6,6.2,27.2,75705.0,7.4,52347.0,5.1,10.3,70.7,2.7,1.8,8.4,0.0,203.8,717735.0,108920.0,69262.0,24.7,146881.0,80.2,111694.0,28654.0,19416.0,89504.0,508440.0,507778.0,43393,,80266.0,11.183236152619003,89504.0,12.47034072464071,15.562011048646088,3.9922812737291618
144,4151,協和キリン,1146702,20.1,1.4,2.7,495558.0,73.2,13.7,33.8,,,59870.0,12.1,7.2,81.6,0.0,0.0,18.8,,323.3,1019279.0,214370.0,136494.0,100.5,73160.0,201.4,114828.0,48586.0,0.0,215563.0,831421.0,831421.0,37384,20.9,165784.0,16.26483033595316,214370.0,21.031533073868882,11.265610299044717,4.766702737915723
145,4204,積水化学工業,1021939,12.5,1.3,3.3,1297754.0,32.4,9.2,24.1,107951.0,8.3,81925.0,6.3,10.1,60.7,8.3,10.8,3.1,0.1,206.8,1330786.0,142586.0,205780.0,57.9,244630.0,101.8,403870.0,155417.0,110829.0,31757.0,835366.0,807348.0,48914,,-12831.0,-0.9641670411320827,31757.0,2.3863340912813933,30.34823029397664,11.678586940349538
146,4523,エーザイ,1204919,28.0,1.4,3.7,741751.0,79.1,7.5,50.5,53408.0,7.2,42406.0,5.7,4.9,61.0,15.3,18.2,6.1,0.3,199.4,1432864.0,291260.0,235640.0,116.0,206110.0,484.3,159932.0,152986.0,219102.0,72975.0,898261.0,873357.0,31170,22.8,138274.0,9.650183129731783,72158.0,5.035928043415146,11.161701319874043,10.676937936887242
147,4768,大塚商会,1086601,19.8,3.0,3.0,1107668.0,20.3,3.4,13.6,74360.0,6.7,53481.0,4.8,15.0,51.9,0.9,0.6,17.8,0.0,182.4,685990.0,199537.0,,,73114.0,30.2,35631.0,8412.0,6000.0,193537.0,360697.0,356337.0,34494,0.2,191125.0,27.861193311855857,193537.0,28.212801935888276,5.194099039344597,1.226256942521028
148,5019,出光興産,1181267,8.1,0.6,4.0,8719201.0,9.7,4.3,5.7,346316.0,4.0,228518.0,2.6,12.4,35.8,26.0,113.1,97.2,0.7,126.5,5148516.0,188485.0,953823.0,39.9,1324258.0,61.4,1380605.0,915581.0,1336527.0,1148042.0,1861244.0,1841214.0,300275,,-727096.0,-14.122438388071437,-1148042.0,-22.298503102641615,26.815591133445054,17.78339622524238
149,6532,ベイカレント,1168416,31.3,12.4,1.3,116056.0,53.8,28.1,17.1,42615.0,36.7,30760.0,26.5,32.6,75.7,6.5,0.7,4.7,0.1,366.7,124665.0,60552.0,22699.0,71.4,919.0,6.3,11620.0,6105.0,8082.0,55470.0,94401.0,94401.0,31782,,54447.0,43.6746480567922,52470.0,42.088797978582605,9.320980227008382,4.897124293105523
150,6586,マキタ,1149073,21.3,1.2,0.0,753130.0,36.0,17.2,21.8,107038.0,14.2,79338.0,10.5,8.6,83.7,0.9,0.9,24.6,0.0,544.2,1106525.0,253279.0,105831.0,51.3,338116.0,256.2,266609.0,35032.0,10152.0,282787.0,932495.0,926005.0,129874,,218247.0,19.723639321298663,243127.0,21.9721199249904,24.094259054246404,3.165947448092
151,6920,レーザーテック,1193218,16.1,6.7,2.2,213506.0,50.3,15.6,12.2,81375.0,38.1,59076.0,27.7,33.3,59.2,0.0,0.0,4.5,,212.8,299365.0,53824.0,,,174406.0,600.4,30542.0,1319.0,0.0,53824.0,177333.0,177312.0,29785,5.7,52505.0,17.538790439764167,53824.0,17.979389708215724,10.202261453409717,0.4405992684515558
153,7272,ヤマハ発動機,1118821,8.0,1.0,4.4,2576179.0,31.9,6.9,24.9,181515.0,7.0,108069.0,4.2,9.3,41.7,34.2,85.1,47.0,0.8,140.1,2783501.0,372999.0,178186.0,25.2,574105.0,119.5,486844.0,409053.0,951973.0,525820.0,1226586.0,1161569.0,60965,5.3,-36054.0,-1.2952752666516016,-578974.0,-20.800208083273546,17.49034758744473,14.695629712365829
155,9005,東急,1031292,13.9,1.3,1.3,1037819.0,31.0,14.0,21.8,94905.0,9.1,63763.0,6.1,7.8,30.8,47.4,121.2,115.9,1.5,64.6,2635507.0,55357.0,160890.0,56.6,27921.0,14.2,1792590.0,1094308.0,1250322.0,1194965.0,852624.0,812696.0,31237,0.0,-1038951.0,-39.421295409194514,-1194965.0,-45.34099131590241,68.01689390314652,41.52172618019986
156,9024,西武HD,944566,3.6,2.4,1.1,477598.0,18.6,19.3,8.7,47711.0,10.0,26990.0,5.7,6.9,23.5,47.4,83.5,77.8,2.0,64.3,1662295.0,53223.0,,,150422.0,141.3,1245586.0,856978.0,788306.0,735083.0,396379.0,390870.0,21594,,-803755.0,-48.35212763077553,-735083.0,-44.22097160852917,74.93170586448254,51.55390589516301
157,9107,川崎汽船,1248298,4.2,0.7,5.1,962300.0,16.7,21.1,7.9,84763.0,8.8,104776.0,10.9,6.1,75.0,12.9,23.5,6.1,0.2,212.6,2275953.0,217796.0,,,39349.0,17.9,483935.0,330686.0,293331.0,75535.0,1740318.0,1707356.0,118233,0.0,-112890.0,-4.9601200024780825,-75535.0,-3.3188295188872527,21.262961054116673,14.52956190220097
158,9201,本航空,1147926,10.0,1.2,3.5,1844095.0,,20.7,,168605.0,9.1,107038.0,5.8,11.0,34.9,32.1,78.1,12.5,0.9,130.7,2794913.0,749030.0,210211.0,41.6,49723.0,,1214014.0,939934.0,896023.0,143491.0,1016673.0,975058.0,381527,,-190904.0,-6.830409390202844,-146993.0,-5.259305030246022,43.43655777478583,33.63017024143507
159,1803,清水建設,1056650,16.0,1.2,2.5,2005518.0,4.5,1.1,5.7,24685.0,1.2,17163.0,0.9,2.0,34.1,24.0,57.1,29.7,0.7,118.6,2514107.0,219785.0,,,7083.0,1.3,636903.0,343922.0,603155.0,313370.0,919263.0,857861.0,78950,1.0,-124137.0,-4.93761800909826,-383370.0,-15.248754329071911,25.333169988389514,13.679688255114042
160,2267,ヤクルト本社,891742,17.1,1.6,2.2,503079.0,59.6,14.1,47.0,63399.0,12.6,51006.0,10.1,8.9,67.0,9.4,8.9,20.5,0.1,249.3,852339.0,262393.0,63389.0,46.0,33014.0,59.3,278134.0,75569.0,79809.0,182584.0,626267.0,570722.0,24469,1.8,186824.0,21.918978246918186,182584.0,21.421523595658535,32.6318518805311,8.866073240811462
161,2269,明治HD,959228,19.2,1.3,2.8,1105494.0,29.6,9.8,22.0,84322.0,7.6,50675.0,4.6,6.8,61.0,7.5,9.6,0.1,0.1,170.2,1217395.0,93155.0,231946.0,76.6,208214.0,97.7,483296.0,92287.0,91896.0,1259.0,786453.0,742905.0,54539,3.2,868.0,0.07129978355422849,1259.0,0.10341754319674386,39.699193770304625,7.580694844319223
163,2875,東洋水産,926826,15.7,1.9,1.8,489013.0,28.7,14.4,15.0,66696.0,13.6,55653.0,11.4,11.6,80.7,0.6,0.4,26.4,0.0,500.7,595846.0,248467.0,,,38397.0,40.2,178690.0,28476.0,3433.0,245034.0,493088.0,480705.0,50983,0.4,219991.0,36.92078154422451,245034.0,41.12371317420944,29.989292535319528,4.77908721381028
164,3626,TIS,972588,21.7,3.0,1.6,549004.0,27.6,11.4,15.9,64568.0,11.8,48873.0,8.9,14.8,63.1,8.1,4.3,5.5,0.1,210.8,521741.0,94913.0,,,7709.0,7.1,81184.0,51709.0,42192.0,53087.0,341337.0,329165.0,43647,0.5,43204.0,8.280736994025771,52721.0,10.104822124387388,15.560210909244244,9.910856152765453
