,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
23,4568,第一三共,6910350,23.0,4.3,2.1,1886256.0,78.0,2.9,38.8,331925.0,17.6,295756.0,15.7,18.2,47.0,5.9,2.9,7.5,0.1,253.2,3456119.0,639838.0,619101.0,119.8,514910.0,452.0,498517.0,1078670.0,202265.0,518463.0,1623416.0,1623416.0,134030,,-438832.0,-12.697247982491344,437573.0,12.660819838668749,14.424185046869045,31.210441538616003
24,4661,オリエンタルランド,5185770,45.7,5.3,0.4,679374.0,40.2,28.8,14.9,172111.0,25.3,124160.0,18.3,12.7,67.9,18.5,5.1,3.8,0.3,222.7,1438521.0,323416.0,30616.0,16.4,27597.0,24.8,820646.0,225230.0,266667.0,194656.0,977408.0,977408.0,92691,,98186.0,6.825482561603202,56749.0,3.944954574872386,57.047898501307934,15.657053320737063
25,6201,豊田自動織機,5013794,20.9,1.0,1.7,4084984.0,23.3,4.2,17.7,221695.0,5.4,262312.0,6.4,5.3,52.2,31.5,59.1,51.3,0.6,191.7,9403481.0,378455.0,1720610.0,153.7,619804.0,72.2,1537333.0,2765950.0,2962871.0,2572231.0,5015246.0,4904686.0,39454,,-2387495.0,-25.389480767813538,-2584416.0,-27.483609527152765,16.348552201041294,29.41410739278359
26,6367,ダイキン工業,5053684,18.9,1.8,1.9,4395317.0,34.3,9.1,25.4,392137.0,8.9,260311.0,5.9,9.2,53.6,17.3,18.1,0.3,0.3,182.9,5306961.0,931149.0,,,1108855.0,140.3,1290693.0,778221.0,915899.0,15250.0,2903475.0,2842443.0,156934,2.8,152928.0,2.88164921505924,15250.0,0.2873584335743187,24.320755324940205,14.664155248173108
27,6503,三菱電機,5832867,17.2,1.5,0.0,5521711.0,30.6,8.3,23.8,391850.0,7.1,324084.0,5.9,8.2,61.9,5.7,6.2,7.9,0.1,202.9,6375680.0,757331.0,,,1244959.0,118.7,958458.0,452285.0,360661.0,462380.0,4076366.0,3949678.0,229834,,305046.0,4.784524944790203,396670.0,6.221610871310982,15.033031770728769,7.093909982935154
29,6702,富士通,5605733,14.4,3.2,1.0,3550116.0,32.9,8.6,25.0,265089.0,7.5,219807.0,6.2,12.6,49.8,0.0,0.0,4.2,,156.6,3497808.0,236079.0,,,205900.0,31.5,368969.0,243663.0,0.0,236079.0,1902067.0,1740965.0,142984,,-7584.0,-0.21682150649778376,236079.0,6.749341301752413,10.548577852186284,6.966162808250195
30,6857,アドバンテスト,4649577,26.0,9.2,0.0,779707.0,57.1,36.7,25.1,228161.0,29.3,161177.0,20.7,31.8,59.3,10.9,2.0,3.6,0.2,193.8,854210.0,262544.0,113031.0,52.9,209707.0,228.7,78602.0,38247.0,93503.0,169041.0,506539.0,506539.0,266540,,224297.0,26.257828871120687,169041.0,19.78916191568818,9.20171854696152,4.477470411257185
31,6902,デンソー,5369803,10.4,1.1,3.4,7161777.0,15.4,10.6,8.4,518953.0,7.2,419081.0,5.9,8.4,61.3,14.1,21.3,0.9,0.2,185.4,8125000.0,986531.0,1242986.0,63.3,1203066.0,72.5,2009710.0,826744.0,1146404.0,47159.0,5188918.0,4978266.0,313321,,159787.0,1.9666092307692309,-159873.0,-1.9676676923076926,24.73489230769231,10.17531076923077
33,7267,本田技研工業,6884589,7.2,0.5,4.6,20428802.0,21.6,3.7,10.3,1381977.0,6.8,1107174.0,5.4,8.5,41.7,36.8,167.9,92.0,0.9,138.4,31374150.0,4961025.0,1026082.0,18.3,2507597.0,57.1,3195253.0,9187588.0,11558842.0,6334303.0,13371117.0,13067738.0,138613,4.8,-4226563.0,-13.471482095929291,-6597817.0,-21.029468527434208,10.184349217428998,29.283942353816755
35,7751,キヤノン,4191725,12.6,1.3,3.5,4509821.0,47.5,13.5,30.2,279754.0,6.2,160025.0,3.5,5.0,54.7,17.4,24.4,7.8,0.3,134.0,5874162.0,697150.0,631024.0,51.1,872825.0,134.6,1141462.0,460393.0,1024309.0,327159.0,3480059.0,3216064.0,369830,7.5,236757.0,4.030481283968675,-327159.0,-5.569458247831776,19.43191216040688,7.837594536888837
